x,y
614.0,437.0
614.0,442.0
614.0,442.0
620.0,453.0
620.0,453.0
640.0,464.0
664.0,446.0
665.0,415.0
665.0,415.0
665.0,387.0
665.0,387.0
673.0,369.0
702.0,368.0
721.0,391.0
721.0,391.0
731.0,419.0
726.0,440.0
726.0,440.0
715.0,452.0
715.0,452.0
709.0,436.0
720.0,427.0
720.0,427.0
743.0,424.0
743.0,424.0
764.0,426.0
786.0,432.0
786.0,432.0
825.0,445.0
832.0,456.0
832.0,456.0
819.0,459.0
819.0,459.0
799.0,453.0
771.0,412.0
771.0,385.0
771.0,385.0
795.0,362.0
795.0,362.0
831.0,372.0
843.0,380.0
842.0,387.0
842.0,387.0
833.0,404.0
833.0,404.0
805.0,447.0
782.0,465.0
782.0,465.0
758.0,477.0
744.0,484.0
744.0,484.0
743.0,492.0
743.0,492.0
764.0,514.0
775.0,522.0
775.0,522.0
789.0,522.0
801.0,511.0
801.0,511.0
834.0,487.0
840.0,482.0
840.0,482.0
843.0,485.0
842.0,485.0
839.0,490.0
835.0,496.0
807.0,536.0
800.0,542.0
793.0,552.0
788.0,559.0
788.0,559.0
793.0,569.0
811.0,564.0
824.0,560.0
837.0,554.0
854.0,549.0
870.0,545.0
883.0,539.0
896.0,535.0
