x,y
610.0,447.0
610.0,447.0
612.0,448.0
618.0,449.0
618.0,449.0
624.0,431.0
628.0,407.0
628.0,407.0
628.0,407.0
631.0,384.0
631.0,384.0
644.0,376.0
657.0,390.0
657.0,390.0
667.0,419.0
661.0,443.0
661.0,443.0
661.0,443.0
654.0,447.0
654.0,447.0
655.0,440.0
670.0,432.0
670.0,432.0
670.0,432.0
679.0,434.0
679.0,434.0
680.0,435.0
680.0,426.0
680.0,426.0
684.0,407.0
697.0,388.0
697.0,388.0
715.0,403.0
712.0,440.0
712.0,440.0
710.0,469.0
712.0,486.0
712.0,486.0
711.0,492.0
713.0,483.0
713.0,483.0
713.0,483.0
713.0,466.0
713.0,466.0
715.0,440.0
719.0,417.0
719.0,417.0
725.0,397.0
738.0,390.0
738.0,390.0
738.0,390.0
740.0,402.0
740.0,402.0
738.0,427.0
720.0,449.0
720.0,449.0
720.0,449.0
699.0,458.0
699.0,458.0
687.0,459.0
695.0,454.0
695.0,454.0
714.0,454.0
714.0,454.0
730.0,460.0
730.0,460.0
740.0,466.0
740.0,466.0
740.0,466.0
741.0,461.0
741.0,461.0
734.0,448.0
734.0,448.0
727.0,425.0
727.0,425.0
725.0,396.0
725.0,396.0
718.0,359.0
711.0,340.0
711.0,340.0
711.0,340.0
711.0,340.0
704.0,337.0
704.0,339.0
704.0,343.0
704.0,343.0
704.0,343.0
699.0,334.0
699.0,332.0
699.0,332.0
695.0,338.0
