x,y
681.0,423.0
679.0,430.0
682.0,436.0
683.0,444.0
690.0,450.0
703.0,458.0
712.0,453.0
724.0,412.0
724.0,412.0
724.0,399.0
724.0,386.0
727.0,377.0
732.0,366.0
739.0,363.0
765.0,407.0
763.0,420.0
760.0,428.0
751.0,431.0
751.0,431.0
746.0,412.0
755.0,407.0
781.0,403.0
791.0,401.0
804.0,405.0
817.0,409.0
826.0,417.0
833.0,425.0
837.0,441.0
834.0,436.0
830.0,417.0
827.0,408.0
826.0,394.0
827.0,381.0
828.0,372.0
832.0,364.0
851.0,363.0
859.0,367.0
868.0,367.0
885.0,381.0
892.0,387.0
898.0,399.0
893.0,432.0
887.0,439.0
878.0,443.0
878.0,443.0
873.0,450.0
864.0,451.0
847.0,453.0
841.0,450.0
831.0,441.0
835.0,443.0
838.0,449.0
842.0,456.0
844.0,461.0
844.0,461.0
844.0,468.0
849.0,496.0
851.0,499.0
854.0,498.0
857.0,497.0
861.0,500.0
876.0,493.0
880.0,484.0
878.0,478.0
876.0,470.0
872.0,465.0
869.0,461.0
868.0,457.0
867.0,456.0
868.0,459.0
865.0,474.0
863.0,479.0
863.0,489.0
859.0,498.0
854.0,508.0
848.0,519.0
816.0,568.0
809.0,579.0
804.0,587.0
802.0,596.0
803.0,606.0
808.0,614.0
814.0,621.0
818.0,623.0
845.0,612.0
847.0,603.0
846.0,595.0
846.0,584.0
842.0,574.0
838.0,566.0
834.0,561.0
834.0,551.0
834.0,552.0
833.0,551.0
