x,y
721.0,432.0
727.0,429.0
784.0,388.0
797.0,377.0
811.0,365.0
820.0,358.0
825.0,355.0
827.0,358.0
826.0,368.0
813.0,421.0
810.0,432.0
808.0,440.0
805.0,445.0
799.0,445.0
790.0,429.0
784.0,417.0
784.0,417.0
727.0,365.0
713.0,359.0
702.0,354.0
696.0,354.0
696.0,357.0
704.0,360.0
734.0,373.0
821.0,388.0
854.0,393.0
882.0,402.0
906.0,409.0
927.0,413.0
939.0,418.0
947.0,422.0
945.0,426.0
889.0,428.0
877.0,422.0
868.0,415.0
864.0,401.0
863.0,387.0
869.0,372.0
875.0,361.0
886.0,352.0
898.0,350.0
919.0,360.0
945.0,401.0
946.0,409.0
949.0,418.0
947.0,422.0
935.0,386.0
936.0,372.0
947.0,353.0
950.0,344.0
960.0,344.0
972.0,345.0
972.0,345.0
1018.0,369.0
1019.0,374.0
1017.0,380.0
