x,y
562.0,493.0
567.0,492.0
573.0,491.0
583.0,487.0
604.0,476.0
618.0,467.0
632.0,459.0
660.0,440.0
657.0,438.0
652.0,437.0
652.0,437.0
643.0,436.0
637.0,439.0
617.0,439.0
592.0,430.0
591.0,432.0
597.0,438.0
602.0,447.0
609.0,456.0
618.0,468.0
618.0,468.0
629.0,479.0
659.0,504.0
660.0,500.0
657.0,496.0
655.0,489.0
651.0,479.0
654.0,445.0
660.0,437.0
668.0,441.0
674.0,448.0
681.0,459.0
684.0,471.0
690.0,480.0
694.0,489.0
696.0,497.0
694.0,494.0
693.0,478.0
692.0,468.0
693.0,456.0
695.0,449.0
700.0,445.0
725.0,470.0
734.0,482.0
743.0,492.0
752.0,499.0
762.0,505.0
768.0,509.0
766.0,507.0
760.0,505.0
726.0,469.0
725.0,456.0
726.0,445.0
731.0,436.0
741.0,430.0
750.0,430.0
760.0,436.0
780.0,483.0
777.0,491.0
770.0,497.0
767.0,499.0
761.0,499.0
757.0,494.0
756.0,489.0
759.0,485.0
796.0,494.0
806.0,500.0
812.0,502.0
816.0,503.0
817.0,503.0
819.0,496.0
817.0,486.0
806.0,440.0
807.0,442.0
806.0,452.0
811.0,463.0
815.0,475.0
826.0,491.0
834.0,498.0
854.0,492.0
854.0,481.0
853.0,469.0
852.0,457.0
856.0,451.0
857.0,446.0
860.0,445.0
868.0,451.0
911.0,484.0
918.0,490.0
922.0,492.0
923.0,500.0
917.0,500.0
906.0,496.0
897.0,492.0
884.0,451.0
887.0,446.0
891.0,444.0
903.0,448.0
911.0,450.0
923.0,459.0
932.0,470.0
941.0,480.0
938.0,466.0
937.0,457.0
938.0,439.0
943.0,418.0
943.0,400.0
944.0,361.0
927.0,326.0
923.0,327.0
924.0,334.0
927.0,343.0
931.0,358.0
935.0,371.0
970.0,425.0
976.0,435.0
979.0,443.0
977.0,449.0
967.0,455.0
868.0,496.0
844.0,503.0
819.0,510.0
791.0,516.0
767.0,519.0
748.0,528.0
730.0,532.0
719.0,536.0
719.0,555.0
729.0,562.0
739.0,570.0
747.0,578.0
757.0,582.0
765.0,586.0
771.0,586.0
805.0,571.0
812.0,567.0
817.0,566.0
820.0,566.0
816.0,567.0
811.0,568.0
804.0,569.0
791.0,584.0
797.0,589.0
805.0,596.0
817.0,602.0
829.0,607.0
843.0,612.0
869.0,615.0
868.0,612.0
860.0,607.0
