x,y
541.0,535.0
554.0,542.0
554.0,542.0
568.0,541.0
568.0,541.0
580.0,528.0
580.0,528.0
590.0,487.0
588.0,468.0
588.0,468.0
564.0,447.0
550.0,452.0
550.0,452.0
541.0,464.0
541.0,464.0
542.0,477.0
542.0,477.0
567.0,491.0
591.0,499.0
591.0,499.0
615.0,505.0
615.0,505.0
631.0,517.0
631.0,517.0
642.0,538.0
635.0,548.0
635.0,548.0
607.0,549.0
593.0,541.0
593.0,541.0
586.0,527.0
586.0,527.0
583.0,501.0
592.0,484.0
592.0,484.0
606.0,468.0
606.0,468.0
630.0,455.0
630.0,455.0
675.0,453.0
695.0,461.0
695.0,461.0
707.0,478.0
707.0,478.0
723.0,521.0
714.0,540.0
714.0,540.0
698.0,544.0
698.0,544.0
667.0,538.0
664.0,526.0
664.0,526.0
664.0,509.0
664.0,509.0
680.0,469.0
692.0,454.0
692.0,454.0
710.0,458.0
710.0,458.0
715.0,469.0
715.0,469.0
711.0,516.0
712.0,529.0
712.0,529.0
716.0,528.0
716.0,528.0
717.0,490.0
725.0,462.0
725.0,462.0
739.0,459.0
747.0,461.0
747.0,475.0
753.0,500.0
753.0,500.0
758.0,524.0
758.0,524.0
752.0,535.0
754.0,526.0
754.0,526.0
754.0,526.0
757.0,508.0
762.0,484.0
762.0,484.0
766.0,464.0
761.0,479.0
761.0,479.0
761.0,479.0
762.0,506.0
762.0,506.0
766.0,522.0
783.0,537.0
799.0,528.0
812.0,513.0
820.0,491.0
816.0,474.0
816.0,474.0
815.0,480.0
815.0,480.0
819.0,518.0
819.0,518.0
823.0,534.0
823.0,534.0
829.0,546.0
829.0,546.0
839.0,548.0
863.0,515.0
869.0,489.0
869.0,489.0
869.0,489.0
878.0,476.0
907.0,486.0
917.0,503.0
917.0,503.0
917.0,525.0
905.0,543.0
882.0,560.0
882.0,560.0
851.0,573.0
817.0,580.0
817.0,580.0
755.0,586.0
755.0,586.0
733.0,585.0
733.0,585.0
717.0,585.0
717.0,585.0
705.0,582.0
702.0,582.0
711.0,585.0
711.0,585.0
711.0,585.0
741.0,599.0
762.0,608.0
776.0,614.0
776.0,614.0
779.0,616.0
779.0,616.0
