x,y
535.0,497.0
537.0,498.0
548.0,509.0
559.0,527.0
561.0,527.0
557.0,522.0
558.0,522.0
558.0,492.0
559.0,473.0
564.0,466.0
588.0,463.0
594.0,466.0
601.0,475.0
620.0,515.0
622.0,521.0
621.0,519.0
620.0,513.0
619.0,506.0
614.0,468.0
615.0,453.0
618.0,433.0
619.0,417.0
602.0,331.0
599.0,319.0
595.0,320.0
595.0,327.0
596.0,336.0
597.0,346.0
641.0,412.0
674.0,441.0
689.0,454.0
724.0,484.0
729.0,492.0
729.0,496.0
722.0,504.0
695.0,488.0
693.0,475.0
692.0,466.0
695.0,453.0
712.0,438.0
732.0,447.0
740.0,456.0
746.0,465.0
765.0,501.0
767.0,507.0
767.0,501.0
762.0,481.0
759.0,470.0
759.0,460.0
759.0,451.0
776.0,435.0
784.0,441.0
784.0,441.0
790.0,445.0
820.0,493.0
822.0,500.0
824.0,505.0
824.0,489.0
827.0,478.0
827.0,478.0
829.0,467.0
848.0,432.0
853.0,431.0
857.0,430.0
858.0,450.0
851.0,459.0
851.0,459.0
826.0,474.0
765.0,504.0
731.0,512.0
715.0,517.0
665.0,523.0
658.0,526.0
656.0,530.0
669.0,562.0
678.0,571.0
685.0,579.0
706.0,597.0
712.0,596.0
720.0,596.0
723.0,591.0
749.0,568.0
755.0,563.0
759.0,558.0
768.0,550.0
767.0,552.0
766.0,554.0
