x,y
722.0,415.0
723.0,420.0
722.0,435.0
709.0,447.0
705.0,448.0
685.0,436.0
680.0,431.0
682.0,418.0
680.0,411.0
679.0,402.0
692.0,383.0
698.0,384.0
721.0,404.0
728.0,445.0
731.0,458.0
738.0,505.0
741.0,519.0
740.0,532.0
739.0,540.0
736.0,548.0
735.0,542.0
735.0,532.0
737.0,500.0
737.0,487.0
736.0,473.0
739.0,462.0
739.0,450.0
739.0,397.0
740.0,389.0
736.0,379.0
737.0,381.0
733.0,388.0
732.0,397.0
724.0,427.0
709.0,486.0
703.0,496.0
699.0,504.0
692.0,516.0
695.0,518.0
706.0,516.0
714.0,514.0
724.0,512.0
764.0,517.0
771.0,521.0
774.0,523.0
768.0,515.0
764.0,511.0
760.0,504.0
755.0,492.0
733.0,442.0
732.0,430.0
731.0,417.0
736.0,378.0
742.0,372.0
749.0,370.0
781.0,382.0
789.0,391.0
795.0,402.0
802.0,413.0
812.0,446.0
814.0,450.0
815.0,449.0
813.0,425.0
812.0,416.0
808.0,408.0
808.0,401.0
818.0,379.0
822.0,376.0
825.0,373.0
836.0,376.0
836.0,380.0
833.0,381.0
834.0,385.0
823.0,407.0
818.0,420.0
815.0,429.0
811.0,464.0
809.0,467.0
811.0,469.0
809.0,466.0
810.0,466.0
809.0,465.0
807.0,463.0
