x,y
714.0,410.0
716.0,415.0
714.0,419.0
712.0,425.0
687.0,431.0
680.0,424.0
672.0,414.0
669.0,400.0
669.0,387.0
674.0,375.0
691.0,363.0
701.0,366.0
710.0,375.0
730.0,434.0
732.0,458.0
734.0,481.0
737.0,502.0
737.0,520.0
737.0,536.0
740.0,528.0
740.0,507.0
743.0,488.0
746.0,458.0
746.0,458.0
746.0,431.0
747.0,408.0
749.0,388.0
738.0,414.0
734.0,432.0
728.0,449.0
721.0,466.0
714.0,477.0
699.0,498.0
703.0,500.0
720.0,502.0
734.0,502.0
747.0,500.0
761.0,499.0
773.0,498.0
780.0,497.0
771.0,467.0
762.0,456.0
753.0,439.0
741.0,405.0
738.0,387.0
741.0,375.0
750.0,371.0
758.0,370.0
765.0,376.0
796.0,414.0
805.0,429.0
809.0,440.0
806.0,446.0
804.0,441.0
803.0,395.0
806.0,385.0
811.0,382.0
816.0,383.0
825.0,386.0
825.0,386.0
838.0,392.0
856.0,438.0
848.0,437.0
839.0,431.0
831.0,416.0
826.0,402.0
826.0,389.0
833.0,380.0
842.0,375.0
877.0,396.0
886.0,408.0
891.0,421.0
893.0,431.0
895.0,436.0
897.0,435.0
895.0,426.0
896.0,378.0
894.0,375.0
893.0,379.0
899.0,388.0
905.0,399.0
908.0,411.0
915.0,424.0
931.0,427.0
932.0,417.0
932.0,404.0
931.0,393.0
927.0,382.0
924.0,377.0
928.0,403.0
935.0,415.0
942.0,426.0
948.0,434.0
960.0,444.0
965.0,447.0
968.0,442.0
975.0,397.0
979.0,384.0
977.0,376.0
982.0,375.0
984.0,376.0
984.0,381.0
961.0,414.0
948.0,421.0
934.0,429.0
917.0,439.0
898.0,443.0
879.0,449.0
858.0,453.0
838.0,457.0
807.0,463.0
811.0,466.0
819.0,475.0
829.0,486.0
838.0,494.0
845.0,501.0
873.0,491.0
880.0,481.0
889.0,474.0
897.0,466.0
903.0,460.0
902.0,464.0
898.0,470.0
895.0,480.0
872.0,532.0
868.0,542.0
864.0,552.0
865.0,563.0
865.0,572.0
867.0,577.0
870.0,586.0
873.0,587.0
883.0,571.0
879.0,561.0
874.0,551.0
868.0,541.0
863.0,530.0
857.0,523.0
851.0,515.0
