x,y
685.0,609.0
685.0,609.0
686.0,594.0
688.0,575.0
688.0,575.0
689.0,549.0
689.0,549.0
693.0,505.0
697.0,488.0
697.0,488.0
703.0,480.0
703.0,480.0
702.0,479.0
702.0,479.0
699.0,501.0
691.0,520.0
691.0,520.0
684.0,529.0
684.0,529.0
666.0,552.0
653.0,552.0
653.0,552.0
639.0,546.0
639.0,546.0
627.0,522.0
626.0,504.0
626.0,504.0
631.0,492.0
631.0,492.0
660.0,467.0
679.0,465.0
679.0,465.0
693.0,468.0
693.0,468.0
709.0,498.0
705.0,515.0
705.0,515.0
701.0,534.0
701.0,534.0
697.0,558.0
697.0,558.0
682.0,593.0
668.0,600.0
668.0,600.0
655.0,600.0
655.0,600.0
646.0,599.0
646.0,599.0
654.0,596.0
664.0,593.0
664.0,593.0
676.0,594.0
676.0,594.0
706.0,597.0
718.0,595.0
718.0,595.0
723.0,594.0
723.0,594.0
723.0,594.0
724.0,592.0
724.0,592.0
724.0,585.0
724.0,585.0
738.0,555.0
745.0,540.0
745.0,540.0
755.0,530.0
755.0,530.0
772.0,529.0
771.0,531.0
771.0,531.0
768.0,535.0
768.0,535.0
744.0,542.0
731.0,536.0
731.0,536.0
727.0,523.0
727.0,523.0
728.0,511.0
728.0,511.0
737.0,480.0
749.0,471.0
749.0,471.0
765.0,470.0
765.0,470.0
777.0,475.0
777.0,475.0
780.0,515.0
777.0,529.0
777.0,529.0
776.0,533.0
776.0,533.0
778.0,513.0
784.0,493.0
784.0,493.0
790.0,476.0
790.0,476.0
796.0,468.0
796.0,468.0
813.0,478.0
825.0,483.0
825.0,483.0
841.0,503.0
838.0,519.0
838.0,519.0
825.0,529.0
825.0,529.0
806.0,532.0
798.0,523.0
798.0,523.0
795.0,505.0
795.0,505.0
796.0,486.0
796.0,486.0
825.0,468.0
835.0,467.0
835.0,467.0
840.0,474.0
840.0,474.0
843.0,483.0
843.0,483.0
841.0,505.0
836.0,516.0
836.0,516.0
829.0,524.0
829.0,524.0
815.0,546.0
803.0,560.0
803.0,560.0
783.0,568.0
783.0,568.0
748.0,586.0
740.0,596.0
740.0,596.0
734.0,600.0
734.0,600.0
734.0,600.0
734.0,600.0
743.0,596.0
749.0,588.0
749.0,588.0
758.0,578.0
758.0,578.0
758.0,578.0
766.0,569.0
777.0,558.0
779.0,559.0
779.0,559.0
