x,y
614.0,573.0
614.0,573.0
614.0,567.0
613.0,538.0
613.0,538.0
618.0,497.0
618.0,497.0
616.0,459.0
616.0,459.0
618.0,428.0
618.0,428.0
618.0,428.0
618.0,431.0
618.0,431.0
616.0,461.0
614.0,486.0
614.0,486.0
606.0,503.0
587.0,504.0
587.0,504.0
566.0,495.0
566.0,495.0
549.0,477.0
549.0,477.0
548.0,452.0
548.0,452.0
558.0,428.0
587.0,413.0
587.0,413.0
609.0,421.0
615.0,454.0
615.0,454.0
622.0,493.0
619.0,522.0
619.0,522.0
619.0,522.0
608.0,540.0
608.0,540.0
592.0,537.0
582.0,535.0
582.0,535.0
582.0,535.0
587.0,536.0
587.0,536.0
606.0,538.0
635.0,538.0
635.0,538.0
635.0,538.0
658.0,535.0
658.0,535.0
661.0,533.0
655.0,526.0
655.0,526.0
655.0,526.0
654.0,512.0
654.0,512.0
659.0,493.0
677.0,481.0
677.0,481.0
693.0,476.0
703.0,480.0
703.0,480.0
703.0,480.0
695.0,484.0
695.0,484.0
667.0,486.0
641.0,478.0
641.0,478.0
641.0,478.0
633.0,459.0
633.0,459.0
637.0,426.0
658.0,400.0
658.0,400.0
658.0,400.0
679.0,397.0
679.0,397.0
690.0,430.0
698.0,464.0
698.0,464.0
698.0,470.0
696.0,447.0
696.0,447.0
696.0,447.0
702.0,415.0
702.0,415.0
715.0,402.0
730.0,440.0
730.0,440.0
740.0,479.0
742.0,483.0
742.0,483.0
745.0,455.0
756.0,424.0
756.0,424.0
757.0,426.0
756.0,449.0
756.0,449.0
756.0,449.0
759.0,477.0
759.0,477.0
771.0,497.0
781.0,484.0
781.0,484.0
781.0,484.0
792.0,463.0
792.0,463.0
795.0,436.0
798.0,438.0
798.0,438.0
798.0,438.0
800.0,469.0
800.0,469.0
806.0,494.0
820.0,498.0
820.0,498.0
820.0,498.0
832.0,474.0
841.0,443.0
841.0,443.0
856.0,429.0
856.0,429.0
869.0,434.0
869.0,467.0
869.0,467.0
869.0,467.0
846.0,496.0
846.0,496.0
804.0,513.0
763.0,514.0
763.0,514.0
723.0,507.0
695.0,507.0
695.0,507.0
680.0,509.0
675.0,511.0
675.0,511.0
677.0,515.0
684.0,517.0
684.0,517.0
696.0,533.0
700.0,542.0
700.0,542.0
705.0,539.0
717.0,524.0
717.0,524.0
726.0,507.0
732.0,499.0
732.0,499.0
732.0,499.0
