x,y
736.0,435.0
732.0,436.0
733.0,446.0
733.0,451.0
730.0,456.0
725.0,461.0
719.0,460.0
713.0,460.0
707.0,455.0
704.0,446.0
715.0,406.0
722.0,403.0
727.0,399.0
732.0,404.0
737.0,410.0
741.0,421.0
743.0,433.0
750.0,516.0
751.0,532.0
753.0,540.0
752.0,549.0
752.0,553.0
753.0,548.0
751.0,539.0
749.0,523.0
754.0,443.0
758.0,424.0
760.0,402.0
758.0,412.0
756.0,426.0
724.0,487.0
717.0,497.0
713.0,500.0
711.0,505.0
713.0,508.0
720.0,511.0
727.0,509.0
778.0,516.0
787.0,518.0
793.0,519.0
795.0,518.0
793.0,514.0
790.0,510.0
793.0,480.0
798.0,475.0
808.0,471.0
817.0,468.0
826.0,467.0
835.0,467.0
839.0,470.0
841.0,471.0
816.0,470.0
807.0,467.0
802.0,458.0
799.0,450.0
799.0,443.0
801.0,432.0
826.0,426.0
830.0,439.0
832.0,452.0
832.0,467.0
833.0,473.0
832.0,474.0
833.0,434.0
841.0,423.0
841.0,423.0
846.0,422.0
851.0,425.0
855.0,432.0
864.0,472.0
863.0,471.0
862.0,464.0
862.0,457.0
866.0,435.0
871.0,425.0
871.0,425.0
886.0,431.0
891.0,440.0
892.0,452.0
896.0,465.0
898.0,473.0
899.0,472.0
899.0,462.0
898.0,418.0
895.0,399.0
896.0,382.0
897.0,354.0
893.0,334.0
892.0,316.0
889.0,303.0
888.0,297.0
861.0,327.0
859.0,340.0
860.0,354.0
865.0,367.0
877.0,382.0
913.0,437.0
905.0,452.0
894.0,455.0
882.0,458.0
866.0,462.0
866.0,462.0
806.0,472.0
794.0,473.0
786.0,477.0
784.0,482.0
789.0,496.0
794.0,504.0
801.0,511.0
810.0,519.0
830.0,538.0
834.0,539.0
839.0,536.0
842.0,532.0
846.0,528.0
851.0,517.0
852.0,513.0
