x,y
683.0,408.0
687.0,413.0
690.0,424.0
685.0,438.0
685.0,438.0
652.0,451.0
637.0,438.0
624.0,418.0
624.0,418.0
633.0,372.0
651.0,366.0
651.0,366.0
662.0,372.0
684.0,409.0
694.0,439.0
694.0,439.0
700.0,471.0
710.0,537.0
710.0,537.0
710.0,561.0
711.0,578.0
711.0,578.0
710.0,579.0
709.0,566.0
709.0,545.0
709.0,545.0
706.0,489.0
704.0,454.0
704.0,454.0
704.0,426.0
709.0,389.0
710.0,385.0
710.0,385.0
709.0,389.0
705.0,427.0
697.0,489.0
690.0,514.0
690.0,514.0
682.0,530.0
679.0,542.0
685.0,538.0
685.0,538.0
720.0,534.0
738.0,535.0
746.0,538.0
746.0,538.0
738.0,533.0
730.0,525.0
719.0,511.0
719.0,511.0
703.0,473.0
703.0,448.0
703.0,448.0
698.0,426.0
701.0,404.0
713.0,380.0
713.0,380.0
722.0,378.0
722.0,378.0
753.0,428.0
753.0,428.0
759.0,447.0
759.0,447.0
756.0,450.0
753.0,437.0
753.0,437.0
753.0,416.0
760.0,383.0
767.0,376.0
767.0,376.0
778.0,378.0
797.0,405.0
805.0,427.0
805.0,427.0
808.0,443.0
806.0,441.0
805.0,427.0
805.0,427.0
807.0,386.0
812.0,376.0
823.0,377.0
823.0,377.0
842.0,403.0
851.0,423.0
862.0,449.0
862.0,449.0
864.0,453.0
864.0,443.0
861.0,405.0
861.0,405.0
860.0,383.0
855.0,376.0
855.0,389.0
855.0,389.0
858.0,401.0
868.0,420.0
897.0,445.0
897.0,445.0
911.0,451.0
911.0,451.0
909.0,406.0
909.0,406.0
907.0,383.0
907.0,383.0
915.0,365.0
925.0,366.0
925.0,366.0
939.0,376.0
973.0,407.0
996.0,431.0
997.0,439.0
990.0,437.0
990.0,437.0
959.0,414.0
950.0,396.0
947.0,375.0
947.0,375.0
966.0,353.0
991.0,371.0
991.0,371.0
1003.0,412.0
1002.0,423.0
1002.0,423.0
995.0,403.0
995.0,383.0
992.0,356.0
992.0,356.0
992.0,296.0
969.0,239.0
949.0,206.0
947.0,241.0
947.0,241.0
959.0,259.0
991.0,310.0
1007.0,331.0
1007.0,331.0
1018.0,347.0
1041.0,366.0
1041.0,375.0
1041.0,375.0
1009.0,399.0
985.0,413.0
985.0,413.0
956.0,430.0
895.0,455.0
864.0,463.0
864.0,463.0
816.0,470.0
808.0,477.0
808.0,482.0
808.0,482.0
837.0,506.0
851.0,523.0
864.0,535.0
864.0,535.0
869.0,540.0
