x,y
611.0,440.0
611.0,437.0
619.0,436.0
619.0,441.0
617.0,455.0
617.0,455.0
595.0,462.0
589.0,458.0
584.0,450.0
584.0,407.0
594.0,389.0
599.0,387.0
599.0,387.0
623.0,414.0
623.0,425.0
624.0,441.0
628.0,458.0
631.0,540.0
631.0,540.0
629.0,561.0
625.0,558.0
624.0,553.0
624.0,545.0
623.0,534.0
625.0,468.0
625.0,468.0
633.0,412.0
633.0,404.0
635.0,399.0
638.0,396.0
634.0,405.0
632.0,413.0
632.0,413.0
627.0,459.0
624.0,472.0
620.0,486.0
616.0,497.0
605.0,512.0
599.0,519.0
599.0,519.0
631.0,513.0
644.0,515.0
657.0,516.0
675.0,517.0
668.0,515.0
668.0,515.0
662.0,510.0
644.0,471.0
644.0,460.0
643.0,437.0
641.0,421.0
651.0,383.0
651.0,383.0
654.0,376.0
679.0,395.0
687.0,413.0
692.0,426.0
692.0,433.0
692.0,436.0
692.0,436.0
697.0,389.0
707.0,376.0
712.0,375.0
717.0,380.0
726.0,385.0
740.0,426.0
740.0,426.0
741.0,436.0
736.0,433.0
737.0,422.0
738.0,410.0
741.0,399.0
750.0,383.0
754.0,385.0
755.0,387.0
812.0,424.0
825.0,431.0
836.0,440.0
843.0,450.0
843.0,450.0
834.0,448.0
823.0,441.0
791.0,397.0
791.0,389.0
796.0,383.0
825.0,378.0
825.0,378.0
831.0,380.0
838.0,428.0
831.0,433.0
825.0,436.0
821.0,432.0
830.0,424.0
830.0,424.0
847.0,423.0
876.0,430.0
875.0,407.0
874.0,390.0
870.0,381.0
870.0,378.0
873.0,385.0
877.0,390.0
885.0,399.0
890.0,408.0
896.0,412.0
918.0,429.0
924.0,429.0
929.0,429.0
923.0,403.0
923.0,396.0
922.0,389.0
929.0,375.0
932.0,371.0
942.0,380.0
951.0,383.0
994.0,409.0
997.0,416.0
999.0,422.0
989.0,434.0
980.0,433.0
974.0,430.0
948.0,403.0
947.0,394.0
950.0,385.0
955.0,384.0
977.0,382.0
982.0,387.0
989.0,394.0
994.0,426.0
993.0,427.0
991.0,424.0
991.0,390.0
990.0,379.0
990.0,368.0
991.0,356.0
984.0,292.0
968.0,256.0
964.0,260.0
963.0,271.0
966.0,285.0
979.0,330.0
982.0,339.0
988.0,349.0
993.0,357.0
1011.0,387.0
1014.0,395.0
1015.0,399.0
1002.0,409.0
997.0,413.0
990.0,416.0
980.0,421.0
938.0,436.0
925.0,439.0
914.0,445.0
862.0,461.0
853.0,465.0
843.0,467.0
837.0,473.0
823.0,489.0
821.0,493.0
822.0,495.0
835.0,497.0
835.0,495.0
839.0,489.0
842.0,485.0
837.0,457.0
834.0,450.0
828.0,443.0
823.0,443.0
820.0,448.0
815.0,453.0
807.0,457.0
775.0,473.0
768.0,477.0
764.0,482.0
757.0,494.0
755.0,496.0
759.0,498.0
773.0,492.0
775.0,488.0
776.0,481.0
774.0,477.0
762.0,449.0
758.0,444.0
752.0,438.0
750.0,433.0
740.0,422.0
740.0,421.0
741.0,420.0
764.0,435.0
772.0,444.0
778.0,449.0
785.0,461.0
797.0,501.0
796.0,511.0
791.0,517.0
766.0,549.0
762.0,556.0
759.0,563.0
755.0,569.0
763.0,584.0
769.0,582.0
778.0,578.0
825.0,558.0
838.0,555.0
852.0,551.0
879.0,539.0
876.0,539.0
