x,y
726.0,412.0
730.0,412.0
730.0,412.0
723.0,440.0
716.0,439.0
709.0,438.0
696.0,417.0
692.0,410.0
690.0,401.0
694.0,390.0
718.0,379.0
723.0,382.0
726.0,392.0
735.0,433.0
735.0,450.0
737.0,471.0
743.0,507.0
753.0,571.0
751.0,577.0
750.0,577.0
744.0,554.0
744.0,540.0
744.0,508.0
745.0,487.0
747.0,470.0
756.0,409.0
756.0,400.0
752.0,398.0
746.0,410.0
742.0,420.0
739.0,432.0
734.0,446.0
716.0,496.0
711.0,506.0
706.0,510.0
720.0,521.0
732.0,519.0
743.0,519.0
762.0,519.0
781.0,518.0
778.0,515.0
771.0,511.0
771.0,511.0
744.0,457.0
744.0,441.0
744.0,427.0
751.0,382.0
753.0,375.0
755.0,372.0
762.0,372.0
798.0,396.0
809.0,404.0
821.0,413.0
844.0,438.0
839.0,442.0
830.0,442.0
799.0,417.0
794.0,407.0
792.0,398.0
797.0,385.0
827.0,374.0
833.0,380.0
837.0,385.0
843.0,396.0
851.0,429.0
848.0,433.0
847.0,431.0
847.0,393.0
851.0,387.0
854.0,379.0
859.0,371.0
883.0,384.0
889.0,390.0
898.0,401.0
905.0,459.0
906.0,472.0
906.0,484.0
904.0,503.0
902.0,497.0
898.0,489.0
896.0,479.0
896.0,462.0
890.0,409.0
892.0,399.0
894.0,391.0
907.0,378.0
914.0,377.0
923.0,381.0
941.0,399.0
944.0,400.0
942.0,402.0
939.0,403.0
909.0,424.0
900.0,430.0
889.0,433.0
854.0,446.0
861.0,449.0
902.0,455.0
914.0,455.0
926.0,456.0
930.0,458.0
934.0,458.0
930.0,460.0
924.0,459.0
915.0,462.0
866.0,460.0
853.0,460.0
839.0,457.0
810.0,450.0
808.0,449.0
806.0,449.0
807.0,451.0
817.0,467.0
819.0,474.0
821.0,479.0
822.0,484.0
835.0,492.0
841.0,489.0
847.0,484.0
867.0,468.0
867.0,466.0
865.0,468.0
854.0,474.0
850.0,476.0
849.0,479.0
857.0,491.0
860.0,496.0
863.0,504.0
870.0,511.0
891.0,553.0
896.0,562.0
898.0,571.0
900.0,570.0
896.0,567.0
