x,y
600.0,554.0
599.0,553.0
599.0,553.0
599.0,545.0
601.0,523.0
601.0,523.0
602.0,495.0
598.0,463.0
598.0,463.0
600.0,448.0
600.0,464.0
600.0,464.0
598.0,484.0
595.0,506.0
595.0,506.0
586.0,516.0
568.0,508.0
568.0,508.0
553.0,490.0
546.0,475.0
546.0,475.0
553.0,454.0
572.0,444.0
572.0,444.0
593.0,438.0
602.0,454.0
602.0,454.0
612.0,478.0
612.0,495.0
612.0,495.0
610.0,518.0
610.0,518.0
604.0,530.0
604.0,530.0
598.0,532.0
598.0,532.0
586.0,532.0
577.0,534.0
577.0,534.0
574.0,537.0
582.0,531.0
582.0,531.0
601.0,534.0
621.0,533.0
621.0,533.0
635.0,537.0
634.0,540.0
634.0,540.0
630.0,539.0
628.0,534.0
628.0,534.0
630.0,528.0
636.0,521.0
636.0,521.0
647.0,513.0
663.0,506.0
663.0,506.0
677.0,497.0
679.0,494.0
679.0,494.0
666.0,494.0
666.0,494.0
647.0,495.0
647.0,495.0
631.0,482.0
631.0,482.0
625.0,468.0
629.0,452.0
629.0,452.0
629.0,452.0
629.0,452.0
660.0,426.0
660.0,426.0
681.0,448.0
681.0,448.0
686.0,476.0
686.0,476.0
686.0,483.0
686.0,483.0
686.0,483.0
686.0,475.0
689.0,455.0
693.0,440.0
693.0,440.0
699.0,435.0
699.0,435.0
707.0,449.0
707.0,449.0
708.0,481.0
708.0,481.0
705.0,496.0
705.0,496.0
705.0,487.0
710.0,460.0
719.0,441.0
719.0,441.0
719.0,441.0
733.0,442.0
748.0,466.0
748.0,466.0
748.0,466.0
744.0,500.0
744.0,500.0
745.0,487.0
755.0,461.0
755.0,461.0
755.0,461.0
765.0,436.0
780.0,438.0
780.0,438.0
787.0,466.0
787.0,466.0
787.0,466.0
776.0,498.0
753.0,518.0
717.0,532.0
690.0,533.0
690.0,533.0
690.0,533.0
666.0,534.0
654.0,535.0
655.0,537.0
655.0,537.0
657.0,540.0
657.0,540.0
664.0,544.0
664.0,544.0
670.0,555.0
670.0,555.0
676.0,562.0
678.0,560.0
680.0,546.0
680.0,546.0
684.0,530.0
684.0,530.0
684.0,530.0
692.0,512.0
689.0,496.0
689.0,496.0
685.0,481.0
681.0,457.0
681.0,457.0
676.0,429.0
670.0,407.0
670.0,407.0
667.0,391.0
662.0,385.0
662.0,385.0
661.0,383.0
661.0,387.0
661.0,387.0
659.0,374.0
662.0,374.0
662.0,374.0
662.0,374.0
659.0,368.0
659.0,368.0
660.0,370.0
658.0,368.0
658.0,368.0
662.0,374.0
662.0,374.0
664.0,382.0
664.0,382.0
