x,y
713.0,414.0
716.0,416.0
719.0,419.0
724.0,422.0
727.0,428.0
722.0,452.0
717.0,458.0
710.0,462.0
703.0,463.0
681.0,446.0
681.0,438.0
679.0,428.0
684.0,383.0
689.0,377.0
696.0,375.0
722.0,406.0
729.0,421.0
733.0,434.0
749.0,512.0
752.0,528.0
754.0,548.0
758.0,564.0
765.0,613.0
764.0,617.0
765.0,617.0
764.0,615.0
757.0,575.0
756.0,562.0
756.0,542.0
755.0,502.0
755.0,480.0
758.0,426.0
758.0,414.0
754.0,405.0
755.0,401.0
751.0,427.0
755.0,440.0
758.0,452.0
755.0,494.0
745.0,505.0
736.0,516.0
731.0,524.0
722.0,529.0
724.0,547.0
724.0,547.0
731.0,548.0
778.0,557.0
791.0,559.0
803.0,562.0
807.0,564.0
801.0,555.0
801.0,555.0
794.0,549.0
769.0,508.0
762.0,495.0
760.0,468.0
759.0,451.0
756.0,437.0
763.0,406.0
765.0,398.0
773.0,395.0
814.0,414.0
839.0,434.0
847.0,445.0
856.0,458.0
862.0,480.0
854.0,484.0
847.0,483.0
838.0,480.0
809.0,424.0
810.0,409.0
814.0,397.0
839.0,385.0
853.0,388.0
863.0,391.0
877.0,400.0
917.0,446.0
923.0,458.0
927.0,468.0
927.0,475.0
925.0,469.0
923.0,459.0
919.0,446.0
916.0,415.0
909.0,341.0
909.0,321.0
906.0,277.0
903.0,261.0
900.0,258.0
894.0,258.0
895.0,259.0
905.0,307.0
909.0,324.0
913.0,341.0
915.0,361.0
915.0,361.0
949.0,441.0
959.0,452.0
971.0,457.0
994.0,441.0
995.0,433.0
995.0,433.0
994.0,419.0
1007.0,374.0
1013.0,371.0
1021.0,372.0
1059.0,386.0
1065.0,392.0
1065.0,392.0
1073.0,399.0
1047.0,398.0
1034.0,393.0
1019.0,394.0
950.0,377.0
930.0,373.0
912.0,369.0
892.0,366.0
839.0,357.0
831.0,354.0
826.0,354.0
824.0,354.0
