x,y
723.0,376.0
725.0,380.0
725.0,380.0
723.0,391.0
693.0,408.0
687.0,399.0
683.0,384.0
680.0,369.0
680.0,354.0
683.0,339.0
690.0,331.0
698.0,332.0
728.0,402.0
733.0,430.0
736.0,451.0
739.0,477.0
739.0,498.0
739.0,512.0
739.0,525.0
740.0,500.0
740.0,478.0
739.0,456.0
739.0,428.0
739.0,402.0
738.0,374.0
735.0,354.0
737.0,338.0
765.0,346.0
772.0,355.0
779.0,367.0
784.0,375.0
786.0,379.0
782.0,382.0
729.0,395.0
721.0,407.0
710.0,421.0
702.0,427.0
692.0,435.0
685.0,442.0
690.0,444.0
754.0,458.0
774.0,463.0
787.0,465.0
798.0,466.0
804.0,469.0
804.0,468.0
800.0,464.0
782.0,440.0
781.0,432.0
785.0,419.0
787.0,408.0
793.0,398.0
802.0,387.0
813.0,380.0
865.0,382.0
875.0,388.0
880.0,397.0
880.0,405.0
874.0,410.0
867.0,413.0
857.0,410.0
828.0,371.0
827.0,358.0
829.0,347.0
832.0,340.0
845.0,335.0
857.0,339.0
886.0,359.0
883.0,361.0
879.0,366.0
862.0,375.0
849.0,383.0
836.0,391.0
828.0,395.0
824.0,413.0
833.0,424.0
840.0,435.0
849.0,445.0
858.0,451.0
867.0,453.0
874.0,447.0
883.0,438.0
908.0,412.0
907.0,417.0
902.0,430.0
898.0,444.0
895.0,457.0
891.0,471.0
888.0,484.0
900.0,522.0
904.0,528.0
908.0,530.0
913.0,531.0
914.0,528.0
914.0,521.0
913.0,512.0
911.0,504.0
890.0,478.0
888.0,477.0
884.0,479.0
884.0,480.0
882.0,481.0
