x,y
710.0,421.0
712.0,423.0
715.0,423.0
718.0,427.0
710.0,447.0
702.0,452.0
696.0,455.0
685.0,457.0
651.0,431.0
646.0,422.0
644.0,412.0
649.0,388.0
665.0,369.0
672.0,368.0
680.0,368.0
704.0,394.0
710.0,405.0
714.0,420.0
722.0,451.0
723.0,498.0
725.0,513.0
724.0,527.0
724.0,563.0
721.0,570.0
721.0,571.0
720.0,573.0
710.0,562.0
704.0,555.0
693.0,548.0
685.0,539.0
665.0,515.0
671.0,516.0
703.0,522.0
714.0,523.0
730.0,523.0
766.0,526.0
766.0,526.0
765.0,533.0
761.0,536.0
759.0,543.0
740.0,557.0
737.0,560.0
734.0,559.0
729.0,565.0
721.0,539.0
723.0,528.0
723.0,517.0
719.0,478.0
720.0,460.0
719.0,445.0
716.0,414.0
729.0,380.0
736.0,377.0
756.0,388.0
761.0,396.0
770.0,402.0
786.0,423.0
794.0,433.0
819.0,460.0
819.0,465.0
812.0,468.0
782.0,455.0
770.0,439.0
768.0,430.0
765.0,421.0
774.0,387.0
782.0,380.0
807.0,372.0
820.0,382.0
829.0,389.0
834.0,401.0
835.0,416.0
820.0,450.0
814.0,451.0
814.0,451.0
813.0,436.0
818.0,433.0
825.0,431.0
864.0,443.0
874.0,447.0
884.0,449.0
884.0,449.0
896.0,452.0
928.0,450.0
930.0,447.0
927.0,448.0
926.0,450.0
910.0,457.0
910.0,457.0
896.0,456.0
881.0,437.0
879.0,420.0
877.0,413.0
884.0,394.0
898.0,385.0
906.0,386.0
940.0,388.0
941.0,392.0
946.0,398.0
945.0,397.0
923.0,397.0
895.0,388.0
885.0,385.0
872.0,377.0
833.0,353.0
828.0,349.0
827.0,347.0
826.0,345.0
825.0,346.0
