x,y
725.0,414.0
723.0,421.0
717.0,425.0
711.0,431.0
701.0,435.0
670.0,402.0
669.0,375.0
675.0,363.0
675.0,363.0
685.0,353.0
697.0,349.0
732.0,388.0
734.0,403.0
732.0,415.0
729.0,425.0
721.0,432.0
717.0,427.0
717.0,427.0
731.0,402.0
745.0,402.0
757.0,406.0
766.0,411.0
775.0,422.0
781.0,431.0
783.0,442.0
782.0,438.0
777.0,412.0
778.0,397.0
778.0,388.0
776.0,374.0
778.0,366.0
780.0,362.0
780.0,365.0
778.0,383.0
781.0,431.0
782.0,447.0
785.0,463.0
785.0,470.0
782.0,474.0
775.0,473.0
768.0,473.0
759.0,470.0
740.0,469.0
713.0,482.0
713.0,482.0
713.0,486.0
717.0,488.0
723.0,490.0
731.0,489.0
738.0,486.0
733.0,442.0
726.0,432.0
720.0,424.0
720.0,424.0
717.0,417.0
