x,y
708.0,393.0
708.0,392.0
711.0,395.0
716.0,401.0
723.0,405.0
736.0,430.0
736.0,426.0
732.0,415.0
730.0,401.0
733.0,391.0
732.0,378.0
736.0,369.0
740.0,362.0
767.0,394.0
774.0,408.0
774.0,418.0
775.0,426.0
775.0,424.0
771.0,416.0
773.0,405.0
780.0,365.0
788.0,366.0
797.0,370.0
807.0,375.0
822.0,384.0
834.0,394.0
842.0,405.0
833.0,430.0
823.0,425.0
812.0,418.0
803.0,404.0
799.0,391.0
820.0,365.0
825.0,367.0
837.0,371.0
845.0,380.0
856.0,403.0
854.0,413.0
847.0,421.0
830.0,413.0
849.0,399.0
860.0,401.0
871.0,406.0
878.0,416.0
894.0,469.0
892.0,475.0
892.0,478.0
891.0,474.0
891.0,465.0
891.0,450.0
891.0,431.0
895.0,365.0
900.0,364.0
908.0,367.0
913.0,372.0
920.0,380.0
923.0,389.0
922.0,397.0
891.0,428.0
879.0,432.0
871.0,433.0
864.0,433.0
862.0,435.0
864.0,436.0
870.0,434.0
879.0,436.0
921.0,435.0
926.0,436.0
923.0,437.0
914.0,440.0
903.0,441.0
891.0,445.0
874.0,449.0
825.0,460.0
824.0,463.0
825.0,467.0
828.0,471.0
835.0,474.0
840.0,478.0
846.0,477.0
850.0,475.0
848.0,441.0
840.0,431.0
835.0,426.0
827.0,423.0
820.0,423.0
813.0,426.0
780.0,443.0
775.0,446.0
773.0,451.0
773.0,454.0
777.0,456.0
785.0,458.0
793.0,458.0
802.0,456.0
796.0,431.0
785.0,422.0
774.0,414.0
769.0,409.0
770.0,410.0
774.0,414.0
782.0,419.0
815.0,458.0
826.0,470.0
839.0,483.0
856.0,495.0
869.0,510.0
878.0,518.0
888.0,527.0
