x,y
651.0,392.0
658.0,395.0
662.0,403.0
646.0,421.0
638.0,423.0
630.0,421.0
624.0,415.0
620.0,405.0
620.0,396.0
620.0,388.0
648.0,376.0
653.0,387.0
657.0,399.0
657.0,399.0
662.0,410.0
666.0,391.0
669.0,371.0
677.0,360.0
682.0,360.0
694.0,372.0
701.0,392.0
707.0,407.0
722.0,423.0
725.0,420.0
723.0,407.0
720.0,378.0
716.0,369.0
717.0,360.0
720.0,369.0
722.0,380.0
745.0,422.0
752.0,429.0
759.0,430.0
762.0,426.0
764.0,400.0
765.0,388.0
763.0,372.0
760.0,385.0
763.0,400.0
787.0,428.0
802.0,432.0
808.0,429.0
807.0,422.0
809.0,410.0
811.0,396.0
809.0,386.0
809.0,360.0
813.0,356.0
807.0,359.0
796.0,381.0
783.0,391.0
760.0,400.0
744.0,409.0
723.0,413.0
701.0,418.0
625.0,431.0
625.0,431.0
611.0,431.0
596.0,434.0
592.0,434.0
596.0,450.0
600.0,455.0
605.0,459.0
614.0,471.0
622.0,482.0
626.0,492.0
640.0,493.0
646.0,484.0
651.0,473.0
656.0,462.0
664.0,449.0
660.0,461.0
660.0,461.0
656.0,469.0
654.0,475.0
693.0,491.0
711.0,497.0
725.0,503.0
737.0,510.0
