x,y
627.0,480.0
625.0,488.0
621.0,499.0
621.0,499.0
611.0,511.0
595.0,505.0
595.0,505.0
583.0,494.0
581.0,475.0
581.0,475.0
581.0,454.0
594.0,438.0
594.0,438.0
616.0,434.0
628.0,444.0
628.0,444.0
628.0,467.0
622.0,483.0
622.0,483.0
612.0,492.0
606.0,494.0
606.0,494.0
606.0,494.0
614.0,490.0
634.0,498.0
634.0,498.0
640.0,504.0
640.0,504.0
639.0,501.0
641.0,485.0
641.0,485.0
648.0,464.0
654.0,450.0
654.0,450.0
665.0,445.0
678.0,454.0
678.0,454.0
678.0,454.0
679.0,482.0
679.0,482.0
669.0,502.0
656.0,522.0
656.0,522.0
640.0,533.0
619.0,540.0
619.0,540.0
619.0,540.0
603.0,545.0
603.0,545.0
593.0,545.0
596.0,546.0
596.0,546.0
606.0,550.0
613.0,560.0
613.0,560.0
617.0,562.0
621.0,553.0
621.0,553.0
621.0,553.0
625.0,542.0
625.0,542.0
630.0,540.0
630.0,543.0
630.0,543.0
630.0,553.0
629.0,565.0
629.0,565.0
626.0,580.0
624.0,596.0
624.0,596.0
623.0,609.0
623.0,616.0
623.0,616.0
627.0,620.0
637.0,616.0
637.0,616.0
642.0,605.0
634.0,592.0
634.0,592.0
618.0,585.0
609.0,583.0
609.0,583.0
