x,y
812.0,379.0
812.0,383.0
808.0,389.0
772.0,391.0
758.0,375.0
757.0,368.0
756.0,358.0
762.0,346.0
767.0,339.0
793.0,337.0
800.0,345.0
809.0,353.0
813.0,377.0
812.0,387.0
810.0,399.0
801.0,421.0
800.0,428.0
803.0,431.0
808.0,435.0
811.0,432.0
814.0,430.0
814.0,424.0
811.0,412.0
806.0,405.0
790.0,399.0
790.0,405.0
789.0,410.0
786.0,414.0
784.0,421.0
762.0,472.0
763.0,485.0
765.0,493.0
770.0,497.0
781.0,497.0
784.0,492.0
781.0,477.0
777.0,468.0
770.0,462.0
763.0,455.0
758.0,450.0
754.0,448.0
753.0,447.0
