x,y
587.0,430.0
590.0,445.0
596.0,457.0
609.0,478.0
619.0,498.0
625.0,520.0
627.0,539.0
625.0,562.0
620.0,552.0
615.0,538.0
610.0,519.0
607.0,497.0
603.0,475.0
604.0,454.0
601.0,426.0
612.0,362.0
620.0,363.0
626.0,369.0
633.0,384.0
640.0,396.0
634.0,440.0
630.0,439.0
627.0,432.0
625.0,425.0
626.0,417.0
631.0,411.0
638.0,408.0
681.0,416.0
689.0,424.0
695.0,430.0
698.0,435.0
695.0,437.0
688.0,436.0
679.0,433.0
671.0,427.0
656.0,382.0
663.0,375.0
670.0,373.0
679.0,375.0
688.0,385.0
695.0,395.0
698.0,408.0
701.0,419.0
696.0,406.0
697.0,394.0
696.0,382.0
698.0,371.0
702.0,366.0
713.0,362.0
720.0,368.0
768.0,406.0
776.0,416.0
782.0,427.0
780.0,431.0
775.0,433.0
767.0,431.0
757.0,426.0
742.0,376.0
749.0,367.0
757.0,359.0
766.0,359.0
777.0,362.0
797.0,382.0
797.0,432.0
788.0,436.0
781.0,435.0
776.0,428.0
775.0,423.0
777.0,419.0
784.0,416.0
831.0,410.0
846.0,408.0
863.0,406.0
879.0,405.0
894.0,402.0
912.0,403.0
928.0,401.0
938.0,404.0
937.0,415.0
927.0,417.0
917.0,418.0
907.0,416.0
896.0,411.0
882.0,375.0
886.0,367.0
895.0,361.0
906.0,361.0
920.0,362.0
928.0,369.0
936.0,381.0
942.0,392.0
943.0,397.0
941.0,385.0
941.0,369.0
942.0,352.0
941.0,331.0
942.0,310.0
930.0,254.0
924.0,251.0
919.0,254.0
923.0,266.0
925.0,285.0
931.0,302.0
939.0,323.0
945.0,340.0
978.0,406.0
981.0,415.0
981.0,418.0
979.0,413.0
978.0,402.0
976.0,387.0
975.0,375.0
991.0,353.0
1001.0,360.0
1012.0,367.0
1025.0,378.0
1039.0,390.0
1046.0,419.0
1035.0,419.0
1011.0,400.0
1011.0,400.0
1003.0,388.0
999.0,375.0
1000.0,361.0
1033.0,355.0
1042.0,366.0
1045.0,375.0
1046.0,392.0
1043.0,416.0
1037.0,427.0
1037.0,427.0
1026.0,455.0
1031.0,457.0
1039.0,460.0
1046.0,460.0
1051.0,458.0
1052.0,454.0
1050.0,445.0
1042.0,428.0
1025.0,413.0
1020.0,418.0
1016.0,424.0
1008.0,430.0
1000.0,439.0
989.0,450.0
977.0,459.0
968.0,470.0
940.0,504.0
940.0,512.0
941.0,514.0
945.0,516.0
956.0,512.0
965.0,509.0
975.0,505.0
987.0,500.0
999.0,496.0
1050.0,476.0
1063.0,470.0
1077.0,465.0
1085.0,460.0
1090.0,458.0
1092.0,457.0
