x,y
476.0,373.0
481.0,374.0
487.0,381.0
499.0,398.0
562.0,502.0
569.0,527.0
571.0,543.0
573.0,550.0
567.0,561.0
559.0,557.0
532.0,477.0
527.0,449.0
527.0,420.0
526.0,393.0
525.0,370.0
529.0,345.0
536.0,336.0
540.0,331.0
561.0,366.0
561.0,380.0
556.0,392.0
552.0,402.0
547.0,403.0
545.0,395.0
567.0,380.0
582.0,379.0
609.0,383.0
619.0,385.0
619.0,385.0
624.0,390.0
630.0,399.0
603.0,399.0
593.0,389.0
583.0,376.0
583.0,360.0
595.0,334.0
603.0,331.0
627.0,360.0
630.0,382.0
633.0,397.0
633.0,403.0
629.0,397.0
627.0,384.0
628.0,367.0
650.0,340.0
658.0,350.0
666.0,366.0
674.0,384.0
679.0,397.0
685.0,406.0
688.0,407.0
688.0,402.0
687.0,388.0
685.0,347.0
689.0,333.0
691.0,332.0
711.0,384.0
722.0,394.0
732.0,401.0
746.0,399.0
748.0,387.0
746.0,376.0
744.0,359.0
751.0,317.0
754.0,314.0
760.0,314.0
767.0,315.0
768.0,322.0
766.0,343.0
726.0,401.0
708.0,416.0
690.0,427.0
674.0,442.0
659.0,452.0
646.0,458.0
640.0,467.0
636.0,473.0
640.0,473.0
649.0,471.0
688.0,445.0
706.0,436.0
727.0,424.0
745.0,413.0
763.0,404.0
782.0,392.0
814.0,375.0
872.0,356.0
879.0,359.0
884.0,364.0
884.0,364.0
887.0,371.0
887.0,381.0
880.0,389.0
837.0,385.0
831.0,373.0
829.0,358.0
834.0,346.0
839.0,338.0
870.0,342.0
874.0,352.0
888.0,375.0
884.0,381.0
884.0,381.0
887.0,376.0
887.0,364.0
887.0,348.0
895.0,296.0
895.0,268.0
894.0,255.0
883.0,234.0
875.0,238.0
867.0,244.0
861.0,263.0
860.0,269.0
869.0,287.0
900.0,345.0
922.0,389.0
943.0,438.0
950.0,462.0
956.0,483.0
959.0,499.0
942.0,519.0
935.0,509.0
930.0,489.0
930.0,489.0
929.0,466.0
931.0,417.0
927.0,390.0
921.0,337.0
922.0,343.0
922.0,356.0
928.0,365.0
932.0,376.0
940.0,386.0
940.0,386.0
959.0,396.0
967.0,378.0
964.0,365.0
962.0,352.0
963.0,342.0
965.0,338.0
972.0,337.0
979.0,336.0
1023.0,366.0
1029.0,378.0
1032.0,390.0
1032.0,402.0
1028.0,408.0
1023.0,412.0
1015.0,408.0
1008.0,401.0
1001.0,349.0
1007.0,341.0
1013.0,335.0
1024.0,333.0
1035.0,335.0
1046.0,338.0
1069.0,363.0
1062.0,368.0
1057.0,370.0
1045.0,375.0
1033.0,380.0
1011.0,388.0
997.0,394.0
983.0,419.0
993.0,427.0
1000.0,437.0
1008.0,447.0
1014.0,454.0
1020.0,458.0
1029.0,459.0
1036.0,451.0
1073.0,401.0
1076.0,396.0
1078.0,399.0
1077.0,404.0
1072.0,413.0
1067.0,423.0
1063.0,435.0
1060.0,445.0
1089.0,478.0
1103.0,486.0
1116.0,494.0
1124.0,498.0
1135.0,502.0
