x,y
568.0,583.0
559.0,562.0
558.0,549.0
557.0,530.0
555.0,509.0
555.0,488.0
556.0,467.0
559.0,434.0
559.0,440.0
562.0,457.0
562.0,457.0
569.0,466.0
575.0,472.0
578.0,479.0
592.0,464.0
589.0,457.0
585.0,445.0
581.0,438.0
574.0,430.0
566.0,430.0
566.0,430.0
573.0,432.0
582.0,430.0
588.0,434.0
599.0,434.0
608.0,439.0
617.0,444.0
638.0,483.0
632.0,487.0
624.0,485.0
617.0,481.0
610.0,473.0
608.0,463.0
607.0,450.0
608.0,440.0
616.0,429.0
640.0,448.0
645.0,458.0
643.0,466.0
641.0,471.0
639.0,472.0
636.0,467.0
636.0,455.0
636.0,444.0
655.0,437.0
655.0,437.0
660.0,447.0
662.0,460.0
668.0,475.0
669.0,471.0
666.0,446.0
666.0,434.0
666.0,428.0
665.0,422.0
664.0,423.0
664.0,423.0
672.0,464.0
678.0,470.0
683.0,475.0
692.0,472.0
692.0,462.0
693.0,452.0
693.0,441.0
700.0,422.0
703.0,425.0
703.0,431.0
701.0,440.0
695.0,451.0
675.0,474.0
631.0,506.0
628.0,509.0
626.0,514.0
626.0,514.0
651.0,490.0
677.0,472.0
691.0,463.0
703.0,452.0
715.0,444.0
728.0,438.0
737.0,438.0
763.0,457.0
769.0,467.0
771.0,480.0
774.0,494.0
772.0,494.0
770.0,486.0
770.0,474.0
768.0,462.0
765.0,407.0
765.0,385.0
766.0,367.0
770.0,351.0
770.0,349.0
767.0,361.0
766.0,377.0
772.0,451.0
776.0,465.0
785.0,475.0
785.0,475.0
791.0,484.0
796.0,486.0
803.0,472.0
808.0,433.0
812.0,432.0
818.0,436.0
826.0,445.0
833.0,458.0
841.0,475.0
841.0,475.0
847.0,490.0
872.0,580.0
872.0,592.0
871.0,597.0
865.0,598.0
861.0,597.0
847.0,553.0
846.0,511.0
846.0,490.0
846.0,472.0
845.0,452.0
845.0,443.0
843.0,438.0
843.0,438.0
845.0,445.0
857.0,479.0
871.0,490.0
875.0,490.0
877.0,483.0
876.0,477.0
884.0,443.0
889.0,446.0
893.0,450.0
899.0,459.0
902.0,469.0
905.0,484.0
907.0,490.0
908.0,491.0
908.0,455.0
907.0,442.0
912.0,439.0
915.0,443.0
923.0,454.0
931.0,461.0
936.0,474.0
942.0,480.0
941.0,468.0
942.0,448.0
941.0,440.0
940.0,437.0
942.0,439.0
944.0,443.0
949.0,457.0
964.0,485.0
968.0,479.0
970.0,467.0
971.0,454.0
972.0,447.0
974.0,437.0
975.0,444.0
980.0,457.0
981.0,467.0
986.0,478.0
991.0,487.0
995.0,490.0
998.0,490.0
1008.0,466.0
1004.0,456.0
1003.0,448.0
1002.0,442.0
1004.0,436.0
1009.0,433.0
1019.0,434.0
1051.0,451.0
1050.0,455.0
1041.0,460.0
1028.0,465.0
1014.0,472.0
993.0,477.0
978.0,488.0
963.0,498.0
913.0,524.0
907.0,526.0
902.0,529.0
904.0,530.0
908.0,531.0
914.0,533.0
922.0,537.0
971.0,565.0
982.0,570.0
986.0,576.0
991.0,579.0
989.0,578.0
986.0,577.0
977.0,573.0
971.0,571.0
