x,y
534.0,580.0
535.0,581.0
536.0,578.0
534.0,574.0
539.0,569.0
538.0,529.0
538.0,520.0
539.0,510.0
542.0,467.0
546.0,453.0
547.0,444.0
549.0,416.0
551.0,415.0
551.0,418.0
551.0,423.0
550.0,426.0
553.0,453.0
556.0,460.0
560.0,468.0
584.0,477.0
588.0,475.0
591.0,472.0
591.0,468.0
588.0,450.0
585.0,446.0
582.0,442.0
579.0,437.0
560.0,426.0
556.0,427.0
555.0,426.0
561.0,426.0
563.0,425.0
568.0,427.0
605.0,437.0
613.0,441.0
623.0,447.0
632.0,453.0
658.0,482.0
656.0,487.0
656.0,493.0
631.0,483.0
627.0,481.0
622.0,475.0
620.0,466.0
620.0,455.0
640.0,435.0
649.0,434.0
652.0,440.0
658.0,449.0
667.0,483.0
666.0,483.0
667.0,482.0
666.0,452.0
667.0,443.0
671.0,440.0
690.0,450.0
694.0,460.0
698.0,471.0
703.0,478.0
706.0,485.0
712.0,479.0
712.0,470.0
710.0,461.0
710.0,450.0
715.0,445.0
714.0,452.0
716.0,461.0
720.0,472.0
737.0,490.0
741.0,488.0
742.0,481.0
742.0,473.0
739.0,441.0
740.0,439.0
745.0,441.0
747.0,444.0
773.0,484.0
783.0,501.0
788.0,513.0
805.0,575.0
807.0,591.0
807.0,601.0
806.0,609.0
796.0,602.0
791.0,594.0
789.0,581.0
784.0,507.0
783.0,491.0
779.0,477.0
782.0,464.0
781.0,437.0
784.0,439.0
785.0,445.0
786.0,452.0
795.0,477.0
802.0,484.0
808.0,489.0
813.0,490.0
827.0,474.0
828.0,469.0
831.0,460.0
834.0,455.0
841.0,450.0
842.0,452.0
837.0,454.0
831.0,460.0
797.0,486.0
784.0,492.0
770.0,499.0
755.0,503.0
694.0,512.0
677.0,513.0
662.0,516.0
651.0,515.0
628.0,520.0
632.0,522.0
635.0,525.0
678.0,547.0
690.0,556.0
706.0,562.0
715.0,567.0
744.0,576.0
748.0,573.0
751.0,568.0
752.0,564.0
765.0,528.0
780.0,511.0
790.0,503.0
831.0,474.0
842.0,469.0
855.0,465.0
867.0,464.0
906.0,458.0
913.0,456.0
921.0,457.0
946.0,460.0
950.0,464.0
955.0,465.0
965.0,481.0
968.0,487.0
968.0,487.0
969.0,491.0
977.0,498.0
977.0,495.0
977.0,493.0
976.0,489.0
977.0,484.0
981.0,461.0
986.0,455.0
985.0,449.0
981.0,449.0
982.0,456.0
982.0,462.0
984.0,470.0
999.0,493.0
1005.0,496.0
1006.0,495.0
1011.0,490.0
1009.0,481.0
1009.0,475.0
1012.0,456.0
1016.0,452.0
1015.0,455.0
1017.0,486.0
1026.0,498.0
1031.0,506.0
1037.0,510.0
1041.0,511.0
1042.0,507.0
1040.0,503.0
1036.0,471.0
1035.0,465.0
1038.0,460.0
1039.0,456.0
1046.0,453.0
1047.0,456.0
1053.0,459.0
1055.0,462.0
1062.0,467.0
1073.0,496.0
1075.0,498.0
1070.0,495.0
1067.0,478.0
1068.0,473.0
1070.0,464.0
1071.0,453.0
1086.0,440.0
1091.0,442.0
1091.0,442.0
1091.0,477.0
1090.0,486.0
1083.0,514.0
1080.0,523.0
1043.0,560.0
1035.0,570.0
1035.0,570.0
1009.0,597.0
1009.0,602.0
1017.0,598.0
1020.0,596.0
1031.0,592.0
1074.0,569.0
1074.0,569.0
1087.0,566.0
1121.0,548.0
1125.0,546.0
1121.0,543.0
1128.0,542.0
1123.0,542.0
1126.0,538.0
1136.0,539.0
