x,y
470.0,625.0
466.0,593.0
468.0,565.0
469.0,534.0
465.0,497.0
463.0,463.0
471.0,381.0
467.0,380.0
467.0,380.0
465.0,390.0
463.0,418.0
483.0,467.0
494.0,473.0
504.0,476.0
511.0,472.0
517.0,464.0
519.0,454.0
516.0,442.0
516.0,442.0
479.0,391.0
476.0,388.0
477.0,389.0
515.0,406.0
531.0,414.0
545.0,424.0
561.0,438.0
570.0,449.0
573.0,471.0
563.0,467.0
554.0,464.0
544.0,455.0
538.0,443.0
532.0,428.0
542.0,382.0
551.0,384.0
560.0,391.0
570.0,401.0
581.0,418.0
613.0,464.0
610.0,460.0
607.0,439.0
606.0,422.0
604.0,404.0
605.0,386.0
609.0,408.0
614.0,424.0
617.0,438.0
629.0,453.0
638.0,464.0
668.0,472.0
670.0,462.0
668.0,447.0
666.0,430.0
663.0,417.0
661.0,405.0
662.0,395.0
665.0,394.0
693.0,420.0
695.0,424.0
693.0,427.0
659.0,439.0
648.0,441.0
634.0,448.0
619.0,461.0
603.0,470.0
587.0,480.0
532.0,494.0
524.0,494.0
520.0,494.0
517.0,496.0
520.0,496.0
520.0,498.0
525.0,505.0
556.0,551.0
565.0,562.0
571.0,568.0
576.0,566.0
581.0,561.0
606.0,529.0
611.0,524.0
616.0,523.0
618.0,519.0
621.0,516.0
624.0,512.0
676.0,498.0
693.0,495.0
711.0,493.0
730.0,490.0
750.0,485.0
768.0,483.0
804.0,489.0
798.0,488.0
790.0,484.0
780.0,479.0
771.0,472.0
759.0,461.0
768.0,416.0
778.0,411.0
792.0,407.0
808.0,413.0
821.0,417.0
833.0,430.0
845.0,443.0
878.0,475.0
885.0,475.0
886.0,475.0
889.0,477.0
887.0,475.0
852.0,470.0
847.0,462.0
840.0,448.0
838.0,434.0
841.0,426.0
879.0,410.0
889.0,418.0
899.0,436.0
904.0,451.0
906.0,461.0
909.0,466.0
912.0,455.0
910.0,444.0
911.0,431.0
910.0,419.0
913.0,409.0
935.0,430.0
950.0,450.0
956.0,460.0
961.0,467.0
964.0,471.0
985.0,466.0
985.0,457.0
985.0,445.0
982.0,433.0
978.0,419.0
970.0,413.0
975.0,442.0
981.0,456.0
989.0,467.0
996.0,476.0
1004.0,483.0
1019.0,468.0
1016.0,456.0
1012.0,446.0
1014.0,433.0
1012.0,423.0
1011.0,413.0
1029.0,413.0
1037.0,422.0
1043.0,435.0
1050.0,453.0
1052.0,472.0
1058.0,498.0
1059.0,524.0
1069.0,604.0
1066.0,615.0
1063.0,624.0
1063.0,624.0
1062.0,620.0
1061.0,611.0
1053.0,521.0
1053.0,491.0
1052.0,461.0
1053.0,437.0
1048.0,416.0
1051.0,400.0
1052.0,410.0
1056.0,423.0
1058.0,433.0
1064.0,442.0
1093.0,470.0
1101.0,471.0
1107.0,468.0
1114.0,466.0
1114.0,458.0
1118.0,415.0
1121.0,406.0
1123.0,403.0
1123.0,401.0
1123.0,398.0
1119.0,400.0
1117.0,399.0
1111.0,401.0
1089.0,407.0
1075.0,408.0
1063.0,408.0
1045.0,405.0
964.0,379.0
947.0,373.0
929.0,363.0
906.0,350.0
900.0,342.0
891.0,332.0
894.0,331.0
892.0,330.0
890.0,330.0
