x,y
495.0,457.0
495.0,456.0
500.0,460.0
509.0,472.0
519.0,487.0
557.0,562.0
555.0,568.0
551.0,575.0
544.0,568.0
537.0,555.0
527.0,542.0
514.0,453.0
514.0,429.0
514.0,412.0
520.0,398.0
528.0,390.0
537.0,385.0
546.0,390.0
563.0,432.0
560.0,440.0
555.0,445.0
551.0,445.0
541.0,441.0
540.0,435.0
541.0,428.0
577.0,424.0
585.0,429.0
590.0,437.0
594.0,445.0
596.0,449.0
593.0,452.0
593.0,446.0
592.0,437.0
600.0,389.0
607.0,389.0
614.0,392.0
623.0,403.0
631.0,413.0
635.0,432.0
637.0,439.0
637.0,429.0
635.0,418.0
640.0,403.0
644.0,393.0
650.0,389.0
687.0,428.0
691.0,447.0
692.0,467.0
696.0,485.0
696.0,498.0
696.0,505.0
696.0,510.0
691.0,463.0
691.0,445.0
693.0,420.0
695.0,403.0
696.0,388.0
698.0,385.0
697.0,387.0
698.0,394.0
672.0,451.0
666.0,456.0
663.0,457.0
664.0,456.0
670.0,457.0
681.0,459.0
694.0,458.0
726.0,459.0
720.0,462.0
709.0,463.0
697.0,467.0
680.0,469.0
658.0,469.0
610.0,474.0
610.0,475.0
612.0,481.0
621.0,489.0
631.0,497.0
645.0,505.0
685.0,532.0
688.0,531.0
688.0,528.0
686.0,519.0
689.0,509.0
695.0,499.0
706.0,491.0
768.0,465.0
784.0,459.0
798.0,454.0
811.0,454.0
819.0,455.0
822.0,457.0
827.0,462.0
805.0,453.0
801.0,444.0
798.0,433.0
798.0,423.0
821.0,403.0
830.0,413.0
839.0,425.0
848.0,440.0
857.0,462.0
860.0,484.0
865.0,506.0
871.0,570.0
867.0,575.0
863.0,573.0
862.0,565.0
862.0,550.0
861.0,531.0
860.0,481.0
859.0,413.0
860.0,405.0
860.0,403.0
862.0,413.0
861.0,425.0
867.0,455.0
893.0,460.0
897.0,451.0
898.0,439.0
897.0,426.0
920.0,404.0
925.0,410.0
934.0,421.0
942.0,450.0
945.0,461.0
945.0,461.0
946.0,447.0
944.0,433.0
945.0,417.0
946.0,403.0
941.0,402.0
941.0,403.0
946.0,422.0
939.0,464.0
935.0,475.0
933.0,483.0
931.0,485.0
932.0,489.0
932.0,493.0
931.0,495.0
929.0,501.0
922.0,514.0
889.0,528.0
887.0,531.0
887.0,532.0
885.0,537.0
918.0,530.0
949.0,516.0
968.0,506.0
983.0,498.0
998.0,491.0
1008.0,484.0
1008.0,484.0
1018.0,478.0
1016.0,477.0
