x,y
518.0,408.0
523.0,408.0
531.0,415.0
540.0,423.0
556.0,439.0
595.0,527.0
599.0,543.0
599.0,555.0
597.0,562.0
592.0,559.0
591.0,526.0
572.0,475.0
568.0,449.0
565.0,424.0
560.0,395.0
563.0,375.0
566.0,361.0
572.0,350.0
605.0,362.0
610.0,376.0
613.0,390.0
610.0,403.0
607.0,408.0
600.0,409.0
598.0,409.0
595.0,407.0
609.0,400.0
622.0,401.0
634.0,403.0
647.0,405.0
660.0,412.0
670.0,416.0
677.0,422.0
649.0,414.0
637.0,403.0
629.0,389.0
623.0,378.0
623.0,367.0
626.0,357.0
634.0,356.0
643.0,359.0
665.0,400.0
664.0,405.0
662.0,402.0
660.0,395.0
660.0,384.0
677.0,369.0
685.0,372.0
692.0,383.0
704.0,395.0
710.0,408.0
718.0,425.0
724.0,441.0
728.0,455.0
733.0,473.0
731.0,464.0
728.0,451.0
725.0,438.0
722.0,422.0
719.0,407.0
717.0,388.0
736.0,358.0
741.0,362.0
743.0,380.0
736.0,388.0
728.0,399.0
718.0,405.0
708.0,413.0
693.0,431.0
697.0,433.0
704.0,432.0
716.0,431.0
729.0,431.0
739.0,426.0
723.0,429.0
704.0,429.0
684.0,431.0
668.0,431.0
649.0,434.0
635.0,435.0
626.0,434.0
610.0,442.0
613.0,448.0
622.0,452.0
631.0,460.0
641.0,467.0
649.0,467.0
653.0,466.0
662.0,464.0
683.0,445.0
686.0,445.0
686.0,453.0
684.0,462.0
682.0,467.0
682.0,475.0
686.0,483.0
733.0,514.0
745.0,521.0
753.0,524.0
757.0,527.0
756.0,523.0
752.0,514.0
751.0,504.0
762.0,467.0
771.0,459.0
780.0,452.0
791.0,446.0
802.0,441.0
813.0,439.0
847.0,454.0
853.0,474.0
853.0,474.0
854.0,485.0
852.0,496.0
853.0,501.0
850.0,485.0
849.0,469.0
852.0,453.0
848.0,431.0
850.0,395.0
855.0,386.0
869.0,377.0
876.0,382.0
884.0,389.0
889.0,395.0
894.0,403.0
893.0,410.0
887.0,420.0
865.0,438.0
825.0,457.0
814.0,460.0
805.0,461.0
802.0,464.0
804.0,465.0
808.0,466.0
817.0,466.0
857.0,461.0
894.0,456.0
911.0,457.0
916.0,458.0
912.0,435.0
910.0,411.0
908.0,401.0
920.0,378.0
953.0,400.0
958.0,414.0
965.0,428.0
967.0,451.0
964.0,458.0
960.0,460.0
953.0,456.0
940.0,427.0
940.0,416.0
941.0,402.0
944.0,391.0
951.0,384.0
967.0,377.0
974.0,383.0
998.0,429.0
999.0,442.0
1000.0,449.0
1000.0,454.0
1000.0,452.0
1001.0,446.0
1000.0,419.0
994.0,373.0
993.0,377.0
994.0,384.0
994.0,384.0
999.0,397.0
1006.0,410.0
1036.0,452.0
1036.0,448.0
1036.0,439.0
1034.0,430.0
1031.0,417.0
1031.0,405.0
1034.0,377.0
1039.0,375.0
1051.0,376.0
1058.0,380.0
1063.0,385.0
1066.0,392.0
1063.0,399.0
1030.0,432.0
1012.0,441.0
996.0,454.0
977.0,466.0
940.0,477.0
923.0,481.0
910.0,482.0
903.0,485.0
900.0,488.0
906.0,494.0
934.0,511.0
945.0,516.0
955.0,516.0
971.0,511.0
979.0,504.0
987.0,498.0
984.0,466.0
979.0,455.0
973.0,440.0
969.0,422.0
969.0,422.0
963.0,398.0
963.0,356.0
959.0,344.0
954.0,330.0
956.0,333.0
