x,y
492.0,481.0
494.0,481.0
496.0,483.0
499.0,488.0
506.0,494.0
536.0,538.0
546.0,548.0
550.0,562.0
554.0,575.0
558.0,584.0
559.0,594.0
559.0,613.0
556.0,607.0
554.0,603.0
549.0,592.0
545.0,584.0
541.0,563.0
540.0,550.0
528.0,486.0
529.0,472.0
531.0,464.0
535.0,454.0
541.0,449.0
547.0,448.0
566.0,464.0
563.0,469.0
561.0,474.0
558.0,478.0
552.0,480.0
547.0,481.0
537.0,468.0
538.0,466.0
541.0,463.0
548.0,464.0
556.0,465.0
592.0,477.0
598.0,481.0
602.0,488.0
605.0,493.0
603.0,497.0
601.0,500.0
596.0,500.0
576.0,475.0
575.0,465.0
574.0,461.0
575.0,456.0
580.0,451.0
584.0,449.0
592.0,452.0
617.0,476.0
623.0,484.0
628.0,491.0
632.0,499.0
634.0,502.0
635.0,503.0
639.0,501.0
632.0,470.0
628.0,461.0
625.0,453.0
622.0,448.0
622.0,448.0
623.0,452.0
625.0,458.0
643.0,493.0
651.0,502.0
655.0,508.0
659.0,510.0
664.0,511.0
664.0,507.0
656.0,472.0
652.0,465.0
651.0,460.0
654.0,455.0
655.0,455.0
663.0,457.0
692.0,494.0
703.0,507.0
712.0,524.0
722.0,541.0
730.0,559.0
738.0,575.0
741.0,591.0
745.0,623.0
740.0,619.0
736.0,612.0
730.0,600.0
726.0,586.0
719.0,570.0
702.0,499.0
697.0,485.0
694.0,474.0
690.0,462.0
690.0,462.0
689.0,464.0
691.0,467.0
710.0,503.0
720.0,510.0
726.0,518.0
734.0,520.0
739.0,521.0
742.0,509.0
739.0,505.0
735.0,475.0
734.0,465.0
735.0,456.0
744.0,451.0
747.0,460.0
746.0,468.0
742.0,476.0
742.0,476.0
698.0,495.0
685.0,501.0
672.0,504.0
659.0,510.0
648.0,513.0
622.0,514.0
610.0,519.0
585.0,521.0
580.0,524.0
578.0,527.0
580.0,534.0
583.0,538.0
588.0,545.0
615.0,572.0
620.0,572.0
620.0,572.0
623.0,567.0
634.0,549.0
635.0,546.0
632.0,541.0
621.0,530.0
616.0,524.0
608.0,512.0
603.0,498.0
597.0,481.0
590.0,439.0
587.0,426.0
586.0,417.0
584.0,410.0
581.0,405.0
580.0,406.0
581.0,409.0
589.0,424.0
594.0,430.0
605.0,437.0
614.0,441.0
626.0,445.0
693.0,458.0
704.0,458.0
743.0,452.0
788.0,444.0
806.0,447.0
817.0,447.0
822.0,450.0
828.0,453.0
833.0,458.0
842.0,474.0
845.0,481.0
849.0,489.0
849.0,496.0
853.0,505.0
856.0,511.0
857.0,513.0
859.0,511.0
861.0,510.0
862.0,497.0
861.0,490.0
863.0,481.0
862.0,474.0
864.0,456.0
863.0,449.0
878.0,439.0
884.0,440.0
887.0,444.0
896.0,449.0
896.0,449.0
901.0,457.0
902.0,490.0
900.0,493.0
896.0,496.0
893.0,496.0
891.0,484.0
893.0,478.0
898.0,476.0
908.0,469.0
916.0,468.0
924.0,470.0
934.0,471.0
942.0,474.0
951.0,480.0
955.0,485.0
966.0,495.0
965.0,495.0
957.0,487.0
955.0,483.0
947.0,458.0
948.0,451.0
952.0,449.0
955.0,447.0
964.0,446.0
972.0,450.0
972.0,450.0
1004.0,483.0
1005.0,490.0
1006.0,497.0
1002.0,498.0
999.0,500.0
994.0,498.0
990.0,495.0
978.0,465.0
979.0,458.0
980.0,454.0
981.0,447.0
1000.0,456.0
1007.0,461.0
1013.0,471.0
1019.0,481.0
1025.0,489.0
1028.0,495.0
1031.0,489.0
1028.0,481.0
1026.0,474.0
1022.0,461.0
1022.0,453.0
1019.0,446.0
1018.0,443.0
1017.0,438.0
1027.0,461.0
1031.0,469.0
1038.0,477.0
1046.0,485.0
1054.0,490.0
1059.0,492.0
1072.0,492.0
1072.0,488.0
1069.0,481.0
1068.0,473.0
1068.0,467.0
1076.0,445.0
1081.0,442.0
1089.0,440.0
1093.0,443.0
1102.0,456.0
1102.0,458.0
1098.0,461.0
1094.0,462.0
1087.0,464.0
1050.0,485.0
1041.0,492.0
1029.0,500.0
1016.0,503.0
1007.0,508.0
997.0,510.0
976.0,523.0
976.0,526.0
977.0,530.0
979.0,534.0
980.0,539.0
982.0,544.0
995.0,566.0
1000.0,565.0
1001.0,563.0
1007.0,560.0
1012.0,559.0
1018.0,554.0
1024.0,551.0
1031.0,547.0
1044.0,547.0
1041.0,549.0
1036.0,546.0
1032.0,545.0
1018.0,530.0
1016.0,522.0
1009.0,512.0
1005.0,500.0
1000.0,487.0
979.0,432.0
974.0,422.0
972.0,414.0
969.0,411.0
967.0,411.0
965.0,410.0
962.0,417.0
