x,y
446.0,338.0
443.0,338.0
443.0,340.0
478.0,394.0
487.0,415.0
487.0,415.0
499.0,433.0
516.0,499.0
514.0,506.0
504.0,495.0
497.0,483.0
491.0,462.0
483.0,441.0
469.0,368.0
464.0,346.0
464.0,324.0
466.0,309.0
469.0,295.0
481.0,282.0
488.0,282.0
496.0,287.0
519.0,318.0
523.0,328.0
521.0,338.0
519.0,343.0
514.0,347.0
509.0,346.0
500.0,334.0
500.0,328.0
503.0,325.0
508.0,323.0
539.0,326.0
551.0,329.0
564.0,331.0
577.0,336.0
584.0,340.0
586.0,346.0
558.0,331.0
551.0,322.0
546.0,310.0
555.0,286.0
567.0,284.0
586.0,296.0
595.0,304.0
600.0,314.0
601.0,325.0
597.0,335.0
574.0,356.0
563.0,355.0
553.0,355.0
545.0,355.0
539.0,358.0
566.0,380.0
576.0,386.0
584.0,389.0
596.0,382.0
598.0,374.0
605.0,354.0
606.0,346.0
606.0,336.0
604.0,325.0
596.0,316.0
588.0,302.0
555.0,251.0
555.0,251.0
549.0,243.0
543.0,236.0
544.0,238.0
575.0,263.0
584.0,271.0
598.0,278.0
610.0,283.0
622.0,292.0
634.0,302.0
634.0,302.0
697.0,367.0
710.0,386.0
720.0,404.0
729.0,419.0
735.0,436.0
740.0,476.0
734.0,483.0
731.0,479.0
722.0,468.0
714.0,453.0
706.0,434.0
687.0,359.0
687.0,342.0
686.0,329.0
690.0,321.0
694.0,316.0
698.0,312.0
704.0,312.0
709.0,311.0
731.0,329.0
735.0,333.0
750.0,341.0
758.0,344.0
766.0,349.0
771.0,351.0
776.0,363.0
770.0,363.0
762.0,362.0
753.0,358.0
749.0,354.0
743.0,344.0
737.0,336.0
736.0,327.0
748.0,302.0
751.0,304.0
759.0,308.0
761.0,315.0
766.0,324.0
772.0,335.0
776.0,344.0
774.0,341.0
773.0,333.0
771.0,323.0
773.0,314.0
775.0,307.0
779.0,302.0
787.0,303.0
810.0,337.0
815.0,343.0
839.0,356.0
842.0,356.0
848.0,357.0
817.0,350.0
813.0,341.0
809.0,334.0
804.0,324.0
807.0,314.0
811.0,306.0
840.0,300.0
847.0,302.0
851.0,305.0
849.0,305.0
842.0,306.0
830.0,306.0
816.0,300.0
798.0,292.0
742.0,258.0
734.0,249.0
728.0,247.0
728.0,243.0
