x,y
632.0,522.0
626.0,487.0
623.0,474.0
622.0,459.0
621.0,442.0
618.0,426.0
617.0,411.0
609.0,370.0
608.0,369.0
608.0,371.0
609.0,375.0
611.0,383.0
611.0,391.0
615.0,400.0
620.0,410.0
646.0,426.0
653.0,426.0
658.0,423.0
663.0,418.0
663.0,411.0
664.0,405.0
631.0,369.0
615.0,366.0
610.0,366.0
610.0,366.0
609.0,365.0
609.0,367.0
637.0,372.0
650.0,374.0
663.0,377.0
676.0,380.0
700.0,393.0
707.0,399.0
713.0,406.0
711.0,418.0
705.0,417.0
697.0,414.0
690.0,410.0
685.0,406.0
680.0,400.0
676.0,385.0
684.0,366.0
692.0,365.0
699.0,365.0
705.0,368.0
711.0,373.0
714.0,380.0
717.0,388.0
719.0,394.0
716.0,414.0
698.0,428.0
691.0,431.0
683.0,432.0
677.0,432.0
670.0,438.0
677.0,449.0
683.0,457.0
687.0,461.0
692.0,466.0
695.0,467.0
716.0,452.0
722.0,446.0
728.0,443.0
734.0,441.0
740.0,438.0
741.0,435.0
741.0,432.0
737.0,423.0
715.0,390.0
704.0,376.0
696.0,361.0
689.0,349.0
682.0,338.0
678.0,326.0
681.0,326.0
688.0,326.0
696.0,335.0
731.0,361.0
743.0,373.0
756.0,381.0
768.0,392.0
779.0,402.0
788.0,415.0
791.0,400.0
790.0,389.0
789.0,380.0
789.0,380.0
788.0,371.0
787.0,369.0
788.0,368.0
789.0,375.0
819.0,415.0
825.0,414.0
825.0,405.0
823.0,393.0
825.0,385.0
821.0,369.0
823.0,381.0
828.0,392.0
835.0,402.0
845.0,410.0
852.0,414.0
858.0,414.0
857.0,396.0
856.0,386.0
857.0,375.0
865.0,366.0
871.0,366.0
880.0,371.0
892.0,376.0
918.0,405.0
917.0,408.0
910.0,410.0
910.0,410.0
901.0,409.0
884.0,397.0
878.0,390.0
878.0,384.0
893.0,366.0
900.0,366.0
908.0,369.0
915.0,374.0
915.0,374.0
917.0,379.0
917.0,392.0
900.0,398.0
902.0,397.0
906.0,396.0
913.0,398.0
919.0,400.0
926.0,401.0
932.0,404.0
932.0,404.0
941.0,384.0
940.0,376.0
940.0,367.0
940.0,363.0
938.0,363.0
938.0,365.0
940.0,372.0
968.0,409.0
976.0,411.0
981.0,411.0
985.0,409.0
984.0,404.0
985.0,395.0
982.0,388.0
980.0,379.0
989.0,358.0
995.0,357.0
1003.0,358.0
1008.0,362.0
1012.0,365.0
1013.0,371.0
976.0,389.0
962.0,396.0
947.0,407.0
931.0,417.0
915.0,424.0
901.0,429.0
884.0,430.0
858.0,437.0
860.0,440.0
867.0,446.0
875.0,452.0
886.0,457.0
892.0,461.0
900.0,463.0
910.0,463.0
945.0,436.0
953.0,431.0
958.0,427.0
959.0,425.0
