x,y
551.0,556.0
553.0,556.0
552.0,552.0
548.0,532.0
545.0,450.0
545.0,450.0
543.0,424.0
537.0,343.0
533.0,337.0
529.0,334.0
529.0,340.0
530.0,346.0
535.0,377.0
540.0,389.0
545.0,399.0
553.0,406.0
562.0,411.0
569.0,410.0
578.0,366.0
569.0,357.0
560.0,350.0
560.0,350.0
550.0,344.0
525.0,335.0
535.0,336.0
543.0,334.0
555.0,335.0
570.0,337.0
588.0,342.0
634.0,364.0
646.0,373.0
654.0,381.0
659.0,391.0
651.0,400.0
644.0,400.0
633.0,394.0
622.0,387.0
614.0,380.0
602.0,354.0
605.0,345.0
608.0,334.0
614.0,329.0
629.0,326.0
640.0,330.0
649.0,341.0
660.0,384.0
655.0,396.0
649.0,403.0
649.0,403.0
640.0,410.0
633.0,415.0
613.0,419.0
595.0,425.0
599.0,429.0
606.0,438.0
613.0,447.0
621.0,460.0
621.0,460.0
628.0,470.0
657.0,451.0
663.0,443.0
669.0,434.0
673.0,429.0
675.0,428.0
661.0,418.0
651.0,407.0
632.0,378.0
625.0,362.0
619.0,348.0
613.0,332.0
608.0,317.0
604.0,305.0
599.0,295.0
597.0,289.0
601.0,287.0
609.0,296.0
617.0,300.0
628.0,306.0
674.0,331.0
688.0,343.0
699.0,352.0
708.0,365.0
714.0,377.0
721.0,390.0
733.0,400.0
734.0,394.0
734.0,381.0
733.0,367.0
734.0,356.0
732.0,349.0
732.0,343.0
730.0,345.0
745.0,380.0
751.0,388.0
755.0,393.0
760.0,394.0
760.0,389.0
759.0,350.0
760.0,346.0
763.0,351.0
768.0,357.0
775.0,367.0
782.0,378.0
817.0,456.0
827.0,480.0
833.0,498.0
837.0,513.0
838.0,524.0
836.0,529.0
836.0,528.0
832.0,523.0
812.0,455.0
808.0,431.0
806.0,409.0
803.0,389.0
799.0,374.0
794.0,361.0
790.0,351.0
793.0,370.0
799.0,381.0
806.0,390.0
812.0,395.0
820.0,397.0
824.0,396.0
827.0,390.0
824.0,359.0
828.0,354.0
835.0,354.0
844.0,356.0
855.0,361.0
869.0,370.0
896.0,398.0
892.0,404.0
883.0,407.0
874.0,403.0
866.0,394.0
860.0,384.0
856.0,373.0
856.0,365.0
878.0,350.0
894.0,356.0
900.0,365.0
903.0,373.0
904.0,385.0
897.0,422.0
895.0,429.0
894.0,436.0
889.0,443.0
902.0,453.0
906.0,452.0
907.0,446.0
911.0,438.0
909.0,430.0
908.0,421.0
905.0,415.0
901.0,410.0
884.0,412.0
886.0,415.0
887.0,421.0
886.0,429.0
881.0,435.0
875.0,439.0
852.0,452.0
854.0,456.0
861.0,461.0
868.0,469.0
877.0,478.0
886.0,486.0
928.0,523.0
938.0,530.0
948.0,534.0
953.0,538.0
956.0,537.0
954.0,532.0
954.0,532.0
952.0,531.0
950.0,530.0
