x,y
502.0,477.0
500.0,468.0
500.0,468.0
501.0,458.0
504.0,445.0
503.0,413.0
509.0,351.0
509.0,348.0
510.0,351.0
509.0,361.0
510.0,369.0
522.0,401.0
526.0,403.0
531.0,402.0
536.0,398.0
538.0,392.0
539.0,387.0
537.0,377.0
537.0,377.0
513.0,356.0
511.0,357.0
510.0,359.0
512.0,360.0
514.0,360.0
522.0,361.0
547.0,363.0
563.0,371.0
568.0,376.0
573.0,381.0
575.0,386.0
572.0,389.0
567.0,393.0
562.0,393.0
555.0,391.0
546.0,366.0
548.0,360.0
552.0,354.0
559.0,350.0
563.0,351.0
569.0,356.0
579.0,387.0
577.0,392.0
570.0,397.0
564.0,401.0
556.0,404.0
550.0,406.0
545.0,406.0
542.0,407.0
550.0,422.0
554.0,428.0
560.0,435.0
563.0,437.0
567.0,433.0
572.0,429.0
575.0,422.0
578.0,414.0
586.0,397.0
581.0,395.0
575.0,388.0
572.0,380.0
566.0,370.0
563.0,357.0
550.0,329.0
547.0,328.0
549.0,327.0
551.0,331.0
557.0,336.0
563.0,338.0
613.0,356.0
623.0,364.0
635.0,375.0
641.0,383.0
645.0,390.0
646.0,396.0
645.0,397.0
641.0,367.0
638.0,355.0
638.0,343.0
634.0,328.0
635.0,315.0
634.0,302.0
633.0,293.0
632.0,287.0
627.0,305.0
625.0,318.0
625.0,332.0
628.0,344.0
633.0,357.0
636.0,371.0
657.0,390.0
661.0,386.0
665.0,381.0
667.0,374.0
665.0,364.0
659.0,359.0
652.0,356.0
634.0,356.0
635.0,358.0
637.0,357.0
642.0,355.0
648.0,354.0
655.0,352.0
662.0,352.0
692.0,390.0
698.0,405.0
705.0,422.0
711.0,437.0
717.0,456.0
718.0,469.0
719.0,482.0
705.0,462.0
700.0,446.0
698.0,433.0
699.0,419.0
696.0,403.0
693.0,384.0
692.0,362.0
694.0,348.0
698.0,365.0
702.0,377.0
708.0,385.0
714.0,390.0
719.0,393.0
725.0,394.0
727.0,390.0
724.0,356.0
725.0,350.0
732.0,348.0
742.0,351.0
751.0,353.0
758.0,356.0
769.0,361.0
776.0,367.0
763.0,393.0
756.0,389.0
747.0,380.0
745.0,371.0
745.0,362.0
758.0,348.0
765.0,352.0
767.0,355.0
777.0,364.0
780.0,375.0
780.0,381.0
779.0,385.0
778.0,384.0
784.0,353.0
787.0,349.0
789.0,348.0
794.0,350.0
795.0,351.0
798.0,357.0
808.0,368.0
825.0,392.0
825.0,389.0
824.0,386.0
824.0,379.0
824.0,371.0
826.0,363.0
823.0,356.0
821.0,353.0
824.0,361.0
829.0,370.0
834.0,379.0
839.0,388.0
844.0,395.0
850.0,397.0
854.0,395.0
856.0,391.0
862.0,355.0
862.0,346.0
865.0,340.0
866.0,339.0
866.0,340.0
862.0,345.0
828.0,375.0
818.0,383.0
804.0,389.0
789.0,395.0
773.0,398.0
758.0,401.0
745.0,405.0
734.0,417.0
740.0,424.0
747.0,429.0
756.0,436.0
764.0,438.0
772.0,437.0
778.0,433.0
803.0,402.0
804.0,400.0
803.0,396.0
799.0,390.0
794.0,380.0
791.0,367.0
769.0,323.0
765.0,312.0
761.0,305.0
760.0,303.0
761.0,302.0
759.0,302.0
