x,y
500.0,532.0
498.0,527.0
498.0,517.0
499.0,450.0
501.0,429.0
503.0,411.0
503.0,411.0
502.0,387.0
499.0,368.0
501.0,368.0
501.0,371.0
505.0,403.0
507.0,413.0
512.0,422.0
517.0,429.0
525.0,432.0
525.0,432.0
557.0,417.0
560.0,409.0
560.0,403.0
559.0,395.0
556.0,389.0
548.0,385.0
542.0,381.0
535.0,375.0
509.0,373.0
506.0,376.0
505.0,375.0
508.0,375.0
514.0,375.0
519.0,376.0
525.0,376.0
569.0,386.0
581.0,391.0
592.0,393.0
602.0,399.0
613.0,407.0
620.0,413.0
620.0,423.0
597.0,434.0
588.0,425.0
581.0,418.0
579.0,407.0
579.0,400.0
581.0,394.0
583.0,388.0
613.0,383.0
622.0,387.0
629.0,393.0
630.0,404.0
630.0,413.0
624.0,425.0
588.0,455.0
579.0,457.0
570.0,457.0
563.0,458.0
559.0,458.0
558.0,460.0
560.0,464.0
587.0,491.0
591.0,491.0
597.0,493.0
604.0,490.0
610.0,487.0
616.0,480.0
622.0,472.0
629.0,466.0
648.0,447.0
650.0,440.0
649.0,438.0
647.0,435.0
641.0,429.0
612.0,391.0
604.0,378.0
598.0,362.0
594.0,349.0
585.0,342.0
585.0,339.0
584.0,339.0
585.0,343.0
610.0,363.0
621.0,370.0
635.0,375.0
648.0,381.0
670.0,386.0
734.0,434.0
742.0,446.0
746.0,457.0
744.0,464.0
742.0,469.0
714.0,444.0
716.0,434.0
717.0,426.0
721.0,419.0
730.0,415.0
735.0,411.0
744.0,407.0
748.0,400.0
727.0,378.0
716.0,375.0
710.0,377.0
699.0,378.0
693.0,379.0
691.0,378.0
704.0,376.0
714.0,377.0
723.0,375.0
734.0,377.0
747.0,381.0
763.0,388.0
778.0,397.0
787.0,406.0
799.0,434.0
789.0,433.0
782.0,430.0
772.0,425.0
767.0,418.0
763.0,409.0
760.0,399.0
761.0,390.0
785.0,385.0
792.0,394.0
795.0,406.0
800.0,417.0
800.0,425.0
801.0,427.0
800.0,394.0
800.0,383.0
799.0,376.0
802.0,372.0
804.0,373.0
807.0,378.0
811.0,386.0
837.0,421.0
848.0,427.0
856.0,432.0
862.0,434.0
866.0,436.0
864.0,435.0
836.0,421.0
831.0,411.0
829.0,401.0
834.0,384.0
844.0,378.0
849.0,380.0
881.0,422.0
888.0,440.0
897.0,461.0
905.0,479.0
911.0,497.0
918.0,543.0
916.0,543.0
912.0,538.0
910.0,526.0
904.0,513.0
892.0,424.0
894.0,408.0
893.0,394.0
892.0,384.0
892.0,381.0
890.0,380.0
894.0,385.0
911.0,425.0
919.0,433.0
925.0,437.0
932.0,438.0
934.0,435.0
935.0,427.0
935.0,417.0
938.0,406.0
947.0,376.0
951.0,377.0
956.0,380.0
964.0,384.0
972.0,389.0
964.0,407.0
948.0,413.0
928.0,420.0
909.0,425.0
891.0,433.0
871.0,439.0
855.0,446.0
840.0,451.0
805.0,468.0
806.0,470.0
811.0,475.0
819.0,480.0
832.0,482.0
844.0,489.0
873.0,503.0
876.0,504.0
876.0,503.0
875.0,503.0
