x,y
602.0,548.0
602.0,540.0
602.0,529.0
601.0,515.0
603.0,464.0
602.0,446.0
600.0,429.0
602.0,412.0
602.0,398.0
601.0,397.0
600.0,399.0
599.0,404.0
599.0,426.0
599.0,437.0
604.0,443.0
609.0,447.0
629.0,437.0
628.0,431.0
627.0,424.0
624.0,421.0
620.0,415.0
605.0,407.0
602.0,407.0
595.0,405.0
596.0,404.0
598.0,406.0
606.0,408.0
615.0,409.0
627.0,409.0
672.0,417.0
682.0,423.0
694.0,431.0
697.0,442.0
692.0,447.0
658.0,433.0
652.0,425.0
650.0,415.0
649.0,407.0
649.0,407.0
653.0,401.0
657.0,396.0
691.0,407.0
695.0,414.0
695.0,421.0
694.0,429.0
690.0,433.0
684.0,437.0
679.0,435.0
679.0,435.0
690.0,424.0
698.0,422.0
706.0,425.0
715.0,430.0
723.0,434.0
737.0,454.0
737.0,454.0
734.0,446.0
731.0,439.0
731.0,429.0
730.0,417.0
729.0,406.0
732.0,391.0
731.0,396.0
732.0,402.0
733.0,413.0
732.0,425.0
733.0,437.0
735.0,448.0
730.0,472.0
725.0,473.0
715.0,471.0
706.0,468.0
699.0,471.0
694.0,472.0
693.0,475.0
697.0,488.0
704.0,488.0
710.0,486.0
714.0,483.0
713.0,477.0
710.0,471.0
706.0,464.0
687.0,444.0
684.0,445.0
682.0,450.0
679.0,454.0
676.0,462.0
674.0,473.0
652.0,508.0
651.0,516.0
651.0,524.0
653.0,528.0
656.0,532.0
660.0,534.0
664.0,513.0
659.0,506.0
650.0,497.0
643.0,492.0
642.0,487.0
640.0,482.0
642.0,480.0
676.0,473.0
687.0,469.0
699.0,465.0
712.0,463.0
726.0,463.0
737.0,462.0
750.0,461.0
783.0,461.0
792.0,461.0
799.0,461.0
805.0,460.0
810.0,458.0
811.0,458.0
811.0,454.0
812.0,451.0
812.0,421.0
812.0,408.0
814.0,401.0
816.0,396.0
816.0,395.0
813.0,395.0
825.0,417.0
832.0,425.0
840.0,433.0
848.0,441.0
853.0,447.0
854.0,451.0
857.0,454.0
858.0,456.0
856.0,444.0
855.0,440.0
855.0,438.0
854.0,435.0
855.0,435.0
854.0,433.0
854.0,406.0
857.0,396.0
864.0,390.0
866.0,386.0
869.0,385.0
872.0,389.0
873.0,394.0
873.0,399.0
875.0,426.0
875.0,433.0
874.0,441.0
872.0,449.0
866.0,460.0
861.0,470.0
842.0,496.0
841.0,500.0
839.0,505.0
835.0,509.0
831.0,515.0
825.0,521.0
819.0,527.0
817.0,530.0
843.0,512.0
855.0,508.0
866.0,503.0
880.0,500.0
891.0,496.0
899.0,489.0
909.0,486.0
923.0,481.0
923.0,482.0
