x,y
578.0,447.0
572.0,450.0
573.0,454.0
574.0,459.0
572.0,465.0
569.0,468.0
564.0,472.0
537.0,460.0
533.0,448.0
531.0,438.0
531.0,428.0
532.0,418.0
536.0,409.0
541.0,402.0
551.0,394.0
596.0,415.0
607.0,422.0
617.0,431.0
626.0,438.0
633.0,443.0
631.0,447.0
628.0,447.0
600.0,435.0
594.0,427.0
596.0,419.0
597.0,410.0
605.0,401.0
613.0,398.0
621.0,400.0
628.0,406.0
639.0,443.0
637.0,442.0
636.0,439.0
636.0,431.0
638.0,417.0
638.0,411.0
663.0,407.0
671.0,414.0
678.0,419.0
686.0,429.0
699.0,437.0
708.0,439.0
712.0,443.0
688.0,439.0
682.0,431.0
675.0,423.0
672.0,419.0
672.0,408.0
676.0,399.0
684.0,392.0
692.0,389.0
728.0,412.0
730.0,423.0
730.0,432.0
726.0,438.0
720.0,446.0
716.0,449.0
710.0,448.0
727.0,439.0
738.0,442.0
749.0,444.0
763.0,447.0
775.0,448.0
791.0,449.0
802.0,452.0
825.0,455.0
823.0,456.0
816.0,455.0
810.0,455.0
804.0,453.0
798.0,448.0
789.0,417.0
793.0,408.0
803.0,402.0
811.0,401.0
820.0,402.0
834.0,406.0
844.0,410.0
877.0,430.0
881.0,436.0
882.0,441.0
876.0,443.0
866.0,445.0
858.0,443.0
849.0,438.0
839.0,437.0
841.0,404.0
849.0,398.0
859.0,396.0
868.0,400.0
874.0,406.0
880.0,415.0
881.0,424.0
877.0,428.0
879.0,418.0
883.0,407.0
889.0,400.0
897.0,394.0
904.0,392.0
911.0,397.0
919.0,403.0
935.0,450.0
935.0,455.0
935.0,457.0
935.0,452.0
932.0,444.0
931.0,432.0
928.0,360.0
926.0,342.0
920.0,334.0
916.0,325.0
915.0,330.0
920.0,339.0
921.0,355.0
935.0,426.0
944.0,439.0
954.0,450.0
962.0,457.0
969.0,464.0
974.0,462.0
976.0,455.0
971.0,420.0
974.0,414.0
979.0,409.0
985.0,408.0
990.0,411.0
996.0,415.0
998.0,418.0
996.0,422.0
950.0,441.0
933.0,448.0
919.0,453.0
903.0,460.0
850.0,476.0
852.0,481.0
856.0,488.0
863.0,494.0
869.0,503.0
873.0,512.0
877.0,514.0
903.0,492.0
911.0,483.0
915.0,475.0
922.0,472.0
924.0,473.0
926.0,480.0
925.0,489.0
922.0,498.0
937.0,520.0
951.0,524.0
965.0,531.0
979.0,535.0
987.0,539.0
992.0,540.0
