x,y
170.0,363.0
165.0,365.0
158.0,363.0
154.0,367.0
147.0,374.0
136.0,366.0
128.0,357.0
118.0,340.0
112.0,318.0
124.0,304.0
137.0,296.0
151.0,309.0
163.0,338.0
174.0,359.0
187.0,398.0
202.0,455.0
206.0,473.0
215.0,507.0
225.0,525.0
224.0,524.0
224.0,514.0
211.0,485.0
190.0,445.0
179.0,408.0
172.0,376.0
175.0,348.0
175.0,333.0
174.0,311.0
176.0,303.0
178.0,302.0
181.0,312.0
192.0,328.0
210.0,342.0
226.0,346.0
230.0,346.0
231.0,328.0
226.0,298.0
228.0,281.0
231.0,279.0
236.0,285.0
249.0,300.0
257.0,322.0
262.0,330.0
266.0,338.0
262.0,326.0
257.0,309.0
257.0,296.0
260.0,293.0
266.0,292.0
271.0,297.0
280.0,309.0
287.0,329.0
289.0,335.0
288.0,338.0
289.0,329.0
286.0,314.0
288.0,300.0
286.0,292.0
294.0,287.0
301.0,289.0
310.0,306.0
314.0,314.0
319.0,329.0
319.0,331.0
317.0,321.0
316.0,313.0
320.0,297.0
330.0,291.0
340.0,311.0
353.0,336.0
359.0,354.0
362.0,361.0
360.0,339.0
357.0,326.0
347.0,291.0
345.0,257.0
337.0,221.0
333.0,209.0
327.0,199.0
323.0,209.0
332.0,236.0
343.0,266.0
363.0,305.0
389.0,335.0
402.0,348.0
423.0,367.0
426.0,379.0
413.0,378.0
401.0,373.0
381.0,355.0
371.0,333.0
373.0,314.0
384.0,309.0
393.0,309.0
409.0,316.0
420.0,330.0
430.0,354.0
433.0,358.0
431.0,344.0
431.0,327.0
428.0,309.0
425.0,294.0
426.0,293.0
426.0,296.0
431.0,317.0
441.0,341.0
460.0,364.0
463.0,368.0
469.0,363.0
469.0,346.0
461.0,315.0
461.0,311.0
460.0,308.0
460.0,314.0
457.0,328.0
455.0,334.0
446.0,357.0
419.0,374.0
405.0,382.0
384.0,396.0
372.0,403.0
378.0,413.0
386.0,418.0
401.0,423.0
411.0,424.0
424.0,408.0
443.0,388.0
453.0,372.0
469.0,348.0
485.0,330.0
511.0,330.0
517.0,326.0
527.0,324.0
537.0,335.0
536.0,342.0
547.0,365.0
552.0,382.0
556.0,388.0
558.0,377.0
560.0,359.0
553.0,331.0
553.0,323.0
555.0,319.0
554.0,331.0
561.0,349.0
567.0,357.0
578.0,376.0
583.0,377.0
588.0,369.0
587.0,358.0
585.0,336.0
586.0,318.0
595.0,316.0
609.0,329.0
614.0,334.0
620.0,352.0
616.0,366.0
611.0,370.0
595.0,361.0
585.0,343.0
586.0,328.0
594.0,315.0
602.0,311.0
624.0,322.0
639.0,339.0
637.0,355.0
636.0,360.0
631.0,358.0
635.0,344.0
634.0,334.0
630.0,305.0
631.0,279.0
629.0,256.0
620.0,236.0
613.0,226.0
605.0,228.0
598.0,232.0
598.0,257.0
609.0,291.0
618.0,309.0
657.0,389.0
668.0,427.0
674.0,469.0
673.0,506.0
673.0,514.0
668.0,525.0
661.0,521.0
656.0,506.0
655.0,466.0
662.0,423.0
664.0,408.0
674.0,387.0
684.0,356.0
685.0,354.0
682.0,351.0
680.0,346.0
680.0,346.0
686.0,360.0
685.0,372.0
686.0,382.0
692.0,394.0
705.0,404.0
718.0,403.0
721.0,398.0
725.0,387.0
727.0,371.0
725.0,354.0
721.0,342.0
722.0,342.0
725.0,343.0
732.0,346.0
742.0,350.0
747.0,362.0
757.0,389.0
756.0,391.0
752.0,383.0
750.0,371.0
749.0,354.0
748.0,347.0
754.0,338.0
764.0,330.0
773.0,331.0
782.0,339.0
793.0,356.0
797.0,365.0
798.0,379.0
787.0,383.0
777.0,379.0
769.0,375.0
760.0,362.0
758.0,348.0
771.0,337.0
779.0,335.0
798.0,333.0
812.0,338.0
821.0,345.0
831.0,358.0
840.0,376.0
841.0,385.0
837.0,382.0
837.0,364.0
836.0,351.0
837.0,325.0
828.0,298.0
821.0,271.0
820.0,260.0
812.0,246.0
810.0,240.0
805.0,250.0
810.0,275.0
816.0,286.0
831.0,315.0
845.0,346.0
858.0,372.0
861.0,384.0
875.0,396.0
881.0,398.0
878.0,391.0
878.0,385.0
873.0,372.0
868.0,352.0
865.0,337.0
867.0,333.0
872.0,338.0
873.0,340.0
877.0,348.0
884.0,358.0
877.0,371.0
853.0,377.0
840.0,380.0
806.0,384.0
774.0,390.0
750.0,396.0
742.0,401.0
744.0,415.0
757.0,424.0
769.0,431.0
785.0,441.0
791.0,440.0
799.0,431.0
815.0,413.0
818.0,403.0
816.0,397.0
814.0,386.0
798.0,367.0
792.0,359.0
781.0,335.0
767.0,312.0
760.0,298.0
762.0,293.0
764.0,292.0
