x,y
372.0,391.0
366.0,392.0
365.0,392.0
361.0,394.0
357.0,401.0
352.0,403.0
339.0,393.0
333.0,384.0
333.0,359.0
341.0,347.0
374.0,336.0
385.0,342.0
407.0,366.0
419.0,384.0
439.0,418.0
448.0,439.0
466.0,486.0
471.0,500.0
473.0,527.0
471.0,528.0
457.0,514.0
448.0,501.0
434.0,462.0
429.0,444.0
426.0,408.0
420.0,387.0
422.0,357.0
418.0,348.0
418.0,345.0
416.0,346.0
426.0,365.0
433.0,375.0
451.0,391.0
459.0,393.0
469.0,388.0
473.0,384.0
480.0,379.0
479.0,373.0
480.0,363.0
484.0,359.0
499.0,356.0
511.0,361.0
546.0,374.0
558.0,383.0
565.0,401.0
554.0,407.0
533.0,402.0
523.0,394.0
514.0,375.0
514.0,368.0
516.0,361.0
529.0,355.0
549.0,363.0
560.0,370.0
569.0,386.0
573.0,406.0
570.0,405.0
565.0,394.0
564.0,384.0
569.0,361.0
574.0,353.0
592.0,353.0
606.0,361.0
633.0,393.0
637.0,405.0
647.0,435.0
648.0,445.0
654.0,456.0
655.0,446.0
651.0,430.0
644.0,420.0
638.0,395.0
639.0,382.0
642.0,358.0
643.0,361.0
638.0,371.0
636.0,384.0
616.0,411.0
609.0,416.0
603.0,421.0
603.0,416.0
622.0,417.0
638.0,420.0
668.0,421.0
663.0,422.0
631.0,425.0
610.0,427.0
565.0,424.0
546.0,426.0
530.0,423.0
504.0,427.0
492.0,427.0
475.0,427.0
474.0,426.0
472.0,433.0
485.0,449.0
494.0,458.0
503.0,464.0
519.0,468.0
528.0,466.0
545.0,456.0
553.0,447.0
562.0,432.0
554.0,446.0
551.0,457.0
551.0,466.0
550.0,472.0
567.0,478.0
573.0,483.0
598.0,494.0
611.0,496.0
639.0,501.0
648.0,505.0
646.0,501.0
647.0,496.0
648.0,490.0
655.0,481.0
666.0,460.0
678.0,449.0
707.0,435.0
756.0,422.0
772.0,423.0
796.0,430.0
807.0,439.0
814.0,444.0
819.0,446.0
821.0,447.0
821.0,446.0
819.0,445.0
816.0,445.0
813.0,444.0
814.0,442.0
813.0,442.0
815.0,442.0
813.0,441.0
811.0,439.0
810.0,441.0
809.0,439.0
808.0,439.0
805.0,436.0
805.0,436.0
806.0,434.0
806.0,434.0
807.0,433.0
807.0,432.0
802.0,432.0
800.0,433.0
797.0,433.0
794.0,433.0
792.0,432.0
791.0,431.0
799.0,435.0
806.0,444.0
823.0,465.0
831.0,476.0
829.0,496.0
818.0,500.0
796.0,481.0
787.0,477.0
781.0,442.0
781.0,424.0
785.0,394.0
787.0,379.0
785.0,352.0
782.0,347.0
789.0,343.0
792.0,350.0
798.0,364.0
800.0,368.0
806.0,378.0
808.0,381.0
809.0,382.0
813.0,383.0
816.0,388.0
815.0,387.0
811.0,375.0
810.0,369.0
824.0,355.0
831.0,355.0
851.0,363.0
867.0,386.0
871.0,395.0
874.0,402.0
874.0,401.0
876.0,399.0
875.0,384.0
875.0,375.0
876.0,368.0
880.0,367.0
896.0,369.0
903.0,373.0
918.0,382.0
925.0,386.0
931.0,393.0
930.0,398.0
910.0,395.0
902.0,394.0
886.0,379.0
888.0,372.0
895.0,359.0
899.0,355.0
917.0,354.0
924.0,358.0
934.0,375.0
934.0,381.0
928.0,393.0
923.0,395.0
919.0,395.0
925.0,392.0
936.0,392.0
946.0,394.0
964.0,393.0
973.0,396.0
986.0,401.0
993.0,402.0
996.0,404.0
995.0,401.0
991.0,386.0
989.0,378.0
987.0,368.0
989.0,373.0
1003.0,388.0
1008.0,395.0
1027.0,403.0
1033.0,402.0
1034.0,395.0
1037.0,390.0
1034.0,377.0
1037.0,373.0
1061.0,369.0
1077.0,371.0
1100.0,382.0
1110.0,387.0
1119.0,398.0
1118.0,402.0
1104.0,411.0
1091.0,412.0
1071.0,399.0
1069.0,390.0
1078.0,370.0
1080.0,361.0
1102.0,361.0
1110.0,369.0
1129.0,386.0
1137.0,393.0
1135.0,397.0
1134.0,394.0
1127.0,384.0
1119.0,357.0
1118.0,325.0
1116.0,307.0
1107.0,265.0
1099.0,255.0
1087.0,257.0
1081.0,263.0
1077.0,274.0
1078.0,291.0
1081.0,303.0
1090.0,324.0
1099.0,335.0
1114.0,356.0
1124.0,366.0
1135.0,381.0
1133.0,387.0
1109.0,400.0
1092.0,408.0
1046.0,420.0
1021.0,425.0
974.0,431.0
949.0,432.0
908.0,442.0
888.0,446.0
886.0,451.0
885.0,456.0
887.0,457.0
895.0,456.0
900.0,458.0
915.0,451.0
920.0,444.0
917.0,426.0
914.0,422.0
905.0,405.0
899.0,400.0
898.0,397.0
892.0,396.0
889.0,405.0
875.0,417.0
863.0,427.0
846.0,439.0
838.0,443.0
841.0,448.0
853.0,450.0
863.0,451.0
872.0,446.0
877.0,442.0
880.0,433.0
879.0,429.0
875.0,418.0
871.0,412.0
862.0,406.0
862.0,405.0
871.0,400.0
873.0,396.0
881.0,383.0
888.0,375.0
900.0,356.0
911.0,351.0
913.0,331.0
914.0,321.0
915.0,312.0
915.0,308.0
914.0,306.0
911.0,307.0
