x,y
530.0,453.0
532.0,456.0
533.0,457.0
534.0,461.0
528.0,482.0
522.0,483.0
515.0,481.0
509.0,476.0
504.0,465.0
518.0,431.0
526.0,425.0
534.0,427.0
544.0,433.0
551.0,441.0
577.0,505.0
581.0,522.0
586.0,541.0
587.0,557.0
588.0,569.0
580.0,560.0
579.0,546.0
577.0,524.0
573.0,498.0
573.0,475.0
569.0,456.0
566.0,439.0
568.0,430.0
574.0,453.0
579.0,463.0
586.0,468.0
592.0,470.0
597.0,469.0
602.0,466.0
605.0,461.0
609.0,432.0
614.0,432.0
619.0,433.0
629.0,438.0
638.0,442.0
644.0,451.0
651.0,456.0
655.0,464.0
636.0,474.0
629.0,470.0
625.0,461.0
621.0,451.0
622.0,443.0
627.0,435.0
654.0,447.0
657.0,455.0
658.0,463.0
657.0,470.0
657.0,467.0
655.0,461.0
656.0,453.0
656.0,446.0
671.0,441.0
676.0,449.0
685.0,455.0
691.0,469.0
696.0,478.0
698.0,481.0
699.0,479.0
694.0,439.0
692.0,437.0
691.0,437.0
691.0,445.0
694.0,452.0
697.0,464.0
703.0,472.0
708.0,480.0
717.0,461.0
714.0,452.0
713.0,439.0
708.0,435.0
707.0,432.0
708.0,434.0
711.0,440.0
729.0,479.0
735.0,488.0
740.0,488.0
744.0,485.0
746.0,480.0
748.0,470.0
748.0,463.0
748.0,455.0
752.0,443.0
751.0,447.0
747.0,452.0
739.0,456.0
730.0,462.0
714.0,470.0
648.0,489.0
634.0,492.0
624.0,493.0
614.0,494.0
610.0,496.0
607.0,495.0
609.0,498.0
613.0,501.0
639.0,520.0
643.0,527.0
647.0,525.0
649.0,522.0
656.0,517.0
661.0,510.0
666.0,503.0
666.0,490.0
660.0,478.0
654.0,465.0
649.0,454.0
633.0,400.0
632.0,395.0
633.0,393.0
637.0,397.0
676.0,419.0
694.0,427.0
713.0,434.0
735.0,445.0
815.0,467.0
830.0,472.0
841.0,477.0
845.0,480.0
842.0,481.0
835.0,479.0
802.0,457.0
802.0,451.0
804.0,444.0
810.0,441.0
818.0,439.0
827.0,439.0
841.0,442.0
850.0,448.0
887.0,507.0
895.0,520.0
898.0,535.0
900.0,549.0
900.0,560.0
898.0,565.0
895.0,566.0
893.0,562.0
877.0,504.0
874.0,483.0
871.0,466.0
871.0,452.0
870.0,443.0
872.0,439.0
871.0,438.0
880.0,469.0
884.0,476.0
891.0,481.0
895.0,481.0
898.0,477.0
899.0,471.0
900.0,463.0
898.0,454.0
919.0,442.0
927.0,446.0
938.0,455.0
943.0,464.0
946.0,472.0
925.0,477.0
916.0,472.0
906.0,453.0
906.0,453.0
907.0,444.0
911.0,439.0
937.0,448.0
941.0,456.0
947.0,463.0
947.0,470.0
945.0,475.0
940.0,468.0
940.0,468.0
940.0,461.0
950.0,438.0
953.0,435.0
959.0,442.0
965.0,447.0
971.0,457.0
975.0,466.0
980.0,482.0
981.0,488.0
981.0,480.0
978.0,468.0
977.0,453.0
978.0,439.0
978.0,425.0
976.0,413.0
977.0,402.0
975.0,369.0
972.0,371.0
971.0,375.0
971.0,385.0
972.0,398.0
971.0,408.0
969.0,416.0
972.0,431.0
973.0,441.0
981.0,462.0
997.0,484.0
1002.0,483.0
1007.0,482.0
1007.0,478.0
1006.0,474.0
1007.0,467.0
1005.0,458.0
1017.0,435.0
1023.0,438.0
1023.0,438.0
1033.0,443.0
1038.0,445.0
1045.0,456.0
1035.0,456.0
983.0,437.0
966.0,430.0
955.0,421.0
955.0,421.0
926.0,406.0
923.0,406.0
923.0,407.0
