x,y
543.0,451.0
541.0,457.0
539.0,460.0
523.0,466.0
518.0,460.0
515.0,454.0
513.0,438.0
515.0,431.0
518.0,425.0
520.0,421.0
544.0,423.0
550.0,427.0
558.0,434.0
568.0,448.0
582.0,482.0
611.0,557.0
613.0,569.0
612.0,577.0
612.0,577.0
601.0,555.0
597.0,540.0
588.0,482.0
585.0,465.0
584.0,450.0
580.0,428.0
583.0,430.0
584.0,439.0
588.0,449.0
593.0,458.0
617.0,468.0
618.0,462.0
618.0,456.0
616.0,448.0
621.0,437.0
640.0,436.0
651.0,438.0
658.0,446.0
668.0,453.0
674.0,461.0
678.0,469.0
667.0,481.0
659.0,477.0
652.0,473.0
645.0,465.0
643.0,452.0
662.0,429.0
668.0,431.0
676.0,440.0
680.0,449.0
687.0,459.0
687.0,459.0
684.0,467.0
684.0,457.0
683.0,451.0
687.0,443.0
689.0,436.0
707.0,444.0
707.0,444.0
714.0,454.0
726.0,478.0
731.0,492.0
740.0,529.0
739.0,528.0
737.0,525.0
729.0,496.0
728.0,467.0
727.0,453.0
728.0,444.0
731.0,435.0
736.0,428.0
755.0,429.0
757.0,434.0
757.0,440.0
756.0,450.0
720.0,480.0
709.0,487.0
704.0,491.0
699.0,495.0
698.0,495.0
700.0,498.0
734.0,500.0
748.0,497.0
756.0,498.0
764.0,497.0
770.0,497.0
758.0,504.0
747.0,505.0
733.0,506.0
718.0,508.0
669.0,517.0
660.0,522.0
652.0,527.0
648.0,531.0
646.0,531.0
646.0,515.0
652.0,509.0
657.0,505.0
663.0,502.0
669.0,503.0
699.0,521.0
704.0,526.0
707.0,531.0
706.0,532.0
704.0,532.0
689.0,505.0
687.0,493.0
684.0,481.0
679.0,464.0
676.0,447.0
662.0,397.0
658.0,392.0
659.0,388.0
657.0,388.0
657.0,388.0
681.0,406.0
691.0,414.0
701.0,423.0
711.0,432.0
725.0,446.0
736.0,454.0
784.0,469.0
796.0,470.0
809.0,470.0
819.0,472.0
826.0,474.0
850.0,481.0
847.0,485.0
846.0,487.0
841.0,484.0
837.0,484.0
833.0,482.0
817.0,463.0
816.0,456.0
816.0,448.0
820.0,442.0
850.0,449.0
857.0,459.0
866.0,472.0
875.0,487.0
881.0,502.0
898.0,571.0
892.0,573.0
890.0,569.0
884.0,562.0
880.0,549.0
876.0,534.0
863.0,456.0
865.0,442.0
864.0,433.0
867.0,428.0
865.0,451.0
867.0,460.0
873.0,468.0
879.0,475.0
882.0,478.0
885.0,476.0
883.0,447.0
885.0,440.0
888.0,435.0
892.0,434.0
898.0,434.0
936.0,454.0
942.0,460.0
946.0,469.0
947.0,476.0
949.0,482.0
930.0,471.0
924.0,460.0
919.0,453.0
931.0,426.0
936.0,424.0
943.0,426.0
946.0,430.0
950.0,433.0
954.0,455.0
945.0,461.0
936.0,469.0
928.0,475.0
920.0,480.0
912.0,510.0
913.0,516.0
917.0,522.0
919.0,527.0
923.0,527.0
943.0,511.0
952.0,506.0
958.0,502.0
965.0,499.0
972.0,497.0
987.0,515.0
985.0,518.0
983.0,524.0
