x,y
572.0,453.0
571.0,448.0
572.0,455.0
571.0,459.0
568.0,463.0
566.0,468.0
561.0,469.0
554.0,466.0
547.0,460.0
541.0,454.0
534.0,412.0
539.0,401.0
547.0,394.0
552.0,393.0
562.0,392.0
574.0,395.0
627.0,425.0
639.0,435.0
649.0,444.0
656.0,450.0
656.0,453.0
650.0,456.0
615.0,434.0
609.0,423.0
608.0,414.0
610.0,404.0
614.0,394.0
640.0,394.0
649.0,404.0
657.0,416.0
663.0,429.0
666.0,439.0
662.0,442.0
660.0,444.0
659.0,440.0
657.0,402.0
662.0,399.0
666.0,394.0
671.0,393.0
681.0,396.0
685.0,401.0
691.0,411.0
688.0,471.0
680.0,486.0
673.0,499.0
664.0,510.0
655.0,521.0
646.0,530.0
636.0,538.0
639.0,535.0
643.0,529.0
653.0,527.0
695.0,499.0
700.0,491.0
708.0,480.0
714.0,470.0
722.0,461.0
731.0,453.0
738.0,441.0
747.0,434.0
783.0,399.0
792.0,389.0
807.0,386.0
817.0,383.0
831.0,383.0
846.0,384.0
860.0,384.0
902.0,406.0
909.0,417.0
914.0,431.0
913.0,442.0
914.0,458.0
914.0,468.0
915.0,464.0
916.0,453.0
916.0,439.0
913.0,423.0
917.0,404.0
917.0,386.0
909.0,365.0
899.0,305.0
900.0,279.0
898.0,286.0
901.0,288.0
903.0,290.0
898.0,289.0
908.0,336.0
912.0,352.0
913.0,377.0
911.0,397.0
915.0,417.0
915.0,433.0
915.0,450.0
942.0,497.0
950.0,500.0
955.0,504.0
958.0,499.0
961.0,492.0
961.0,487.0
959.0,475.0
958.0,467.0
961.0,427.0
962.0,423.0
980.0,449.0
995.0,517.0
998.0,536.0
1006.0,558.0
1012.0,577.0
1012.0,594.0
1012.0,609.0
1014.0,623.0
1016.0,632.0
1007.0,643.0
1004.0,636.0
1005.0,626.0
1007.0,608.0
1006.0,592.0
1006.0,575.0
993.0,488.0
994.0,470.0
993.0,454.0
991.0,442.0
990.0,436.0
988.0,430.0
990.0,431.0
989.0,453.0
989.0,460.0
1004.0,495.0
1010.0,504.0
1014.0,504.0
1025.0,486.0
1023.0,479.0
1026.0,444.0
1026.0,435.0
1031.0,429.0
1033.0,423.0
1040.0,420.0
1048.0,418.0
1054.0,422.0
1079.0,455.0
1077.0,466.0
1078.0,476.0
1075.0,484.0
1072.0,490.0
1071.0,494.0
1056.0,470.0
1055.0,459.0
1052.0,433.0
1056.0,413.0
1059.0,412.0
1063.0,418.0
1063.0,424.0
1068.0,430.0
1065.0,450.0
1065.0,450.0
1060.0,462.0
1034.0,499.0
1029.0,505.0
1025.0,507.0
1030.0,521.0
1033.0,524.0
1035.0,527.0
1048.0,540.0
1069.0,551.0
1075.0,549.0
1079.0,543.0
1086.0,543.0
1095.0,538.0
1099.0,525.0
1112.0,522.0
1135.0,511.0
1135.0,511.0
1126.0,509.0
