x,y
601.0,528.0
600.0,528.0
601.0,531.0
600.0,532.0
588.0,541.0
581.0,537.0
581.0,537.0
567.0,498.0
569.0,490.0
574.0,484.0
579.0,479.0
617.0,482.0
624.0,487.0
633.0,491.0
644.0,497.0
678.0,520.0
678.0,522.0
673.0,525.0
666.0,524.0
637.0,510.0
632.0,504.0
630.0,499.0
636.0,476.0
640.0,470.0
646.0,469.0
650.0,473.0
675.0,506.0
677.0,512.0
677.0,515.0
675.0,517.0
668.0,496.0
670.0,489.0
671.0,484.0
673.0,478.0
694.0,481.0
701.0,488.0
706.0,499.0
709.0,518.0
708.0,515.0
706.0,510.0
705.0,504.0
703.0,495.0
712.0,468.0
717.0,471.0
724.0,476.0
752.0,511.0
753.0,516.0
751.0,515.0
740.0,475.0
738.0,461.0
734.0,441.0
732.0,426.0
712.0,365.0
711.0,358.0
707.0,356.0
704.0,357.0
705.0,397.0
711.0,410.0
719.0,423.0
760.0,470.0
768.0,481.0
769.0,489.0
771.0,497.0
718.0,516.0
702.0,522.0
687.0,525.0
641.0,538.0
636.0,543.0
629.0,543.0
628.0,543.0
648.0,561.0
657.0,567.0
665.0,573.0
691.0,572.0
697.0,564.0
702.0,558.0
705.0,555.0
718.0,545.0
722.0,542.0
729.0,533.0
753.0,497.0
760.0,485.0
771.0,481.0
786.0,475.0
832.0,474.0
841.0,477.0
848.0,476.0
866.0,488.0
869.0,493.0
871.0,499.0
876.0,504.0
908.0,523.0
918.0,524.0
922.0,524.0
923.0,525.0
917.0,525.0
913.0,526.0
890.0,525.0
885.0,521.0
881.0,516.0
878.0,508.0
885.0,483.0
887.0,480.0
893.0,479.0
901.0,477.0
934.0,488.0
940.0,494.0
951.0,498.0
984.0,523.0
987.0,528.0
988.0,534.0
984.0,537.0
958.0,523.0
954.0,512.0
949.0,505.0
958.0,479.0
969.0,478.0
974.0,475.0
983.0,475.0
1002.0,498.0
997.0,507.0
999.0,518.0
992.0,528.0
973.0,531.0
973.0,526.0
979.0,522.0
1012.0,518.0
1021.0,521.0
1028.0,527.0
1030.0,529.0
1032.0,532.0
1023.0,530.0
1021.0,525.0
1018.0,517.0
1025.0,489.0
1022.0,481.0
1025.0,474.0
1027.0,467.0
1025.0,474.0
1026.0,482.0
1024.0,492.0
1022.0,501.0
1021.0,551.0
1011.0,557.0
1011.0,557.0
967.0,555.0
955.0,555.0
946.0,554.0
948.0,570.0
953.0,582.0
957.0,589.0
957.0,589.0
962.0,591.0
980.0,586.0
986.0,582.0
990.0,574.0
995.0,571.0
997.0,567.0
988.0,577.0
983.0,580.0
980.0,580.0
977.0,582.0
976.0,585.0
996.0,600.0
1020.0,613.0
1030.0,619.0
1040.0,622.0
1041.0,622.0
