x,y
654.0,447.0
639.0,466.0
636.0,469.0
628.0,469.0
620.0,466.0
617.0,460.0
614.0,430.0
618.0,425.0
624.0,421.0
634.0,418.0
670.0,433.0
682.0,441.0
693.0,451.0
703.0,456.0
710.0,469.0
704.0,464.0
696.0,457.0
691.0,454.0
686.0,450.0
687.0,443.0
689.0,435.0
711.0,421.0
720.0,428.0
727.0,432.0
732.0,440.0
718.0,474.0
712.0,482.0
704.0,487.0
697.0,491.0
692.0,495.0
684.0,493.0
690.0,502.0
699.0,508.0
710.0,516.0
725.0,523.0
739.0,532.0
753.0,535.0
748.0,529.0
747.0,521.0
759.0,486.0
764.0,476.0
768.0,466.0
775.0,461.0
782.0,461.0
787.0,461.0
823.0,513.0
833.0,531.0
839.0,542.0
845.0,559.0
852.0,602.0
851.0,607.0
849.0,607.0
845.0,604.0
840.0,597.0
837.0,584.0
824.0,514.0
820.0,494.0
818.0,473.0
815.0,455.0
819.0,442.0
835.0,426.0
844.0,429.0
854.0,434.0
866.0,441.0
874.0,447.0
878.0,475.0
870.0,473.0
862.0,468.0
855.0,460.0
861.0,427.0
871.0,426.0
883.0,426.0
890.0,428.0
894.0,435.0
897.0,444.0
896.0,453.0
871.0,492.0
866.0,500.0
863.0,506.0
862.0,511.0
863.0,516.0
879.0,527.0
882.0,525.0
890.0,515.0
894.0,510.0
894.0,510.0
913.0,504.0
919.0,507.0
923.0,510.0
926.0,517.0
928.0,521.0
930.0,526.0
