x,y
698.0,425.0
701.0,430.0
704.0,438.0
680.0,444.0
670.0,435.0
661.0,423.0
659.0,411.0
658.0,399.0
660.0,388.0
708.0,387.0
725.0,398.0
741.0,412.0
752.0,422.0
765.0,430.0
777.0,442.0
764.0,436.0
753.0,427.0
744.0,418.0
737.0,409.0
745.0,370.0
754.0,369.0
764.0,374.0
775.0,381.0
782.0,394.0
788.0,406.0
794.0,417.0
771.0,463.0
762.0,473.0
752.0,480.0
744.0,485.0
740.0,493.0
779.0,533.0
798.0,549.0
813.0,559.0
824.0,567.0
829.0,571.0
830.0,569.0
810.0,543.0
806.0,530.0
804.0,520.0
803.0,506.0
803.0,493.0
833.0,470.0
842.0,471.0
850.0,474.0
858.0,474.0
865.0,475.0
869.0,476.0
874.0,475.0
873.0,447.0
873.0,431.0
871.0,415.0
874.0,404.0
897.0,398.0
909.0,404.0
921.0,414.0
928.0,425.0
934.0,435.0
935.0,448.0
919.0,457.0
919.0,452.0
920.0,443.0
926.0,439.0
932.0,435.0
942.0,434.0
996.0,445.0
1006.0,451.0
1012.0,456.0
1013.0,463.0
1009.0,468.0
1000.0,468.0
966.0,440.0
958.0,426.0
957.0,412.0
959.0,404.0
963.0,394.0
1002.0,386.0
1009.0,393.0
1013.0,399.0
1011.0,411.0
1007.0,420.0
1005.0,430.0
983.0,490.0
980.0,502.0
973.0,518.0
970.0,529.0
970.0,540.0
985.0,553.0
989.0,552.0
990.0,546.0
990.0,538.0
987.0,529.0
959.0,498.0
953.0,494.0
950.0,492.0
947.0,493.0
