x,y
534.0,445.0
534.0,448.0
532.0,468.0
523.0,475.0
515.0,469.0
515.0,469.0
509.0,460.0
504.0,448.0
508.0,397.0
514.0,394.0
522.0,395.0
531.0,400.0
552.0,410.0
590.0,443.0
603.0,451.0
616.0,458.0
619.0,462.0
618.0,462.0
612.0,459.0
605.0,450.0
595.0,439.0
584.0,398.0
591.0,391.0
623.0,413.0
626.0,424.0
624.0,437.0
618.0,446.0
597.0,448.0
591.0,445.0
604.0,436.0
613.0,437.0
624.0,444.0
634.0,449.0
641.0,455.0
644.0,458.0
644.0,455.0
640.0,433.0
639.0,395.0
639.0,395.0
638.0,399.0
640.0,409.0
667.0,448.0
674.0,442.0
671.0,432.0
670.0,417.0
666.0,406.0
685.0,395.0
695.0,401.0
705.0,406.0
725.0,450.0
721.0,457.0
715.0,456.0
691.0,430.0
687.0,419.0
688.0,407.0
692.0,397.0
700.0,395.0
715.0,402.0
738.0,446.0
738.0,452.0
736.0,449.0
736.0,449.0
735.0,446.0
732.0,434.0
721.0,329.0
721.0,311.0
717.0,298.0
713.0,285.0
711.0,282.0
695.0,290.0
691.0,293.0
685.0,299.0
685.0,315.0
686.0,325.0
690.0,336.0
695.0,340.0
703.0,351.0
702.0,357.0
699.0,358.0
694.0,364.0
688.0,374.0
645.0,433.0
634.0,444.0
623.0,455.0
597.0,477.0
589.0,479.0
584.0,484.0
575.0,488.0
576.0,491.0
578.0,495.0
581.0,497.0
587.0,503.0
622.0,534.0
628.0,536.0
628.0,536.0
637.0,529.0
650.0,502.0
655.0,498.0
659.0,495.0
667.0,488.0
674.0,483.0
684.0,476.0
738.0,457.0
751.0,458.0
763.0,458.0
772.0,461.0
781.0,466.0
805.0,470.0
805.0,461.0
805.0,454.0
805.0,454.0
801.0,435.0
800.0,419.0
798.0,412.0
798.0,416.0
803.0,427.0
809.0,438.0
816.0,449.0
826.0,458.0
833.0,465.0
838.0,448.0
836.0,438.0
837.0,428.0
838.0,418.0
840.0,412.0
844.0,409.0
876.0,417.0
886.0,424.0
894.0,436.0
903.0,445.0
912.0,454.0
912.0,464.0
877.0,460.0
870.0,450.0
867.0,437.0
867.0,422.0
868.0,415.0
870.0,404.0
905.0,427.0
909.0,440.0
914.0,450.0
913.0,455.0
911.0,456.0
911.0,391.0
909.0,376.0
910.0,357.0
908.0,338.0
903.0,320.0
897.0,309.0
879.0,307.0
881.0,315.0
881.0,326.0
885.0,342.0
890.0,355.0
896.0,372.0
921.0,443.0
930.0,466.0
935.0,484.0
943.0,505.0
949.0,526.0
954.0,545.0
962.0,603.0
959.0,609.0
956.0,611.0
950.0,610.0
946.0,602.0
942.0,530.0
943.0,507.0
942.0,485.0
942.0,461.0
939.0,441.0
939.0,429.0
937.0,422.0
939.0,430.0
939.0,438.0
940.0,446.0
950.0,457.0
955.0,466.0
961.0,472.0
974.0,474.0
974.0,466.0
970.0,459.0
970.0,449.0
972.0,440.0
990.0,419.0
1000.0,421.0
1009.0,423.0
1020.0,429.0
1056.0,463.0
1058.0,472.0
1053.0,480.0
1051.0,480.0
1040.0,477.0
1014.0,439.0
1012.0,427.0
1014.0,419.0
1015.0,411.0
1020.0,408.0
1027.0,404.0
1050.0,416.0
1054.0,422.0
1045.0,441.0
1036.0,448.0
1001.0,466.0
998.0,470.0
1002.0,476.0
1005.0,484.0
1010.0,495.0
1014.0,508.0
1035.0,526.0
1042.0,518.0
1057.0,498.0
1065.0,490.0
1072.0,485.0
1062.0,469.0
1057.0,458.0
1035.0,383.0
1030.0,369.0
1022.0,360.0
1019.0,351.0
1015.0,345.0
1013.0,343.0
1014.0,345.0
