x,y
620.0,537.0
621.0,541.0
621.0,543.0
620.0,546.0
617.0,549.0
616.0,555.0
611.0,558.0
587.0,550.0
579.0,544.0
574.0,536.0
572.0,530.0
570.0,499.0
577.0,497.0
583.0,496.0
594.0,498.0
601.0,502.0
609.0,508.0
648.0,537.0
658.0,544.0
665.0,547.0
673.0,550.0
677.0,553.0
678.0,554.0
643.0,539.0
637.0,531.0
634.0,524.0
633.0,518.0
647.0,502.0
654.0,500.0
660.0,500.0
667.0,504.0
675.0,510.0
682.0,516.0
691.0,549.0
686.0,551.0
682.0,553.0
679.0,553.0
675.0,552.0
689.0,547.0
696.0,550.0
700.0,555.0
707.0,557.0
714.0,563.0
718.0,564.0
722.0,548.0
718.0,538.0
719.0,529.0
717.0,520.0
715.0,516.0
714.0,514.0
722.0,533.0
728.0,543.0
736.0,549.0
743.0,555.0
748.0,558.0
754.0,556.0
759.0,552.0
755.0,520.0
757.0,513.0
761.0,508.0
768.0,511.0
774.0,514.0
784.0,519.0
792.0,525.0
829.0,553.0
833.0,557.0
835.0,560.0
834.0,568.0
828.0,569.0
821.0,568.0
798.0,546.0
797.0,537.0
798.0,528.0
803.0,522.0
807.0,518.0
829.0,528.0
836.0,553.0
836.0,556.0
831.0,534.0
830.0,527.0
829.0,513.0
827.0,498.0
828.0,482.0
820.0,433.0
818.0,428.0
811.0,421.0
804.0,423.0
806.0,425.0
804.0,432.0
825.0,472.0
841.0,486.0
858.0,504.0
865.0,509.0
865.0,515.0
864.0,520.0
829.0,539.0
815.0,543.0
796.0,546.0
778.0,548.0
762.0,553.0
695.0,565.0
679.0,566.0
668.0,564.0
657.0,565.0
648.0,565.0
642.0,565.0
640.0,567.0
653.0,578.0
658.0,582.0
667.0,588.0
673.0,597.0
680.0,602.0
687.0,610.0
694.0,615.0
714.0,617.0
718.0,615.0
720.0,611.0
722.0,608.0
724.0,604.0
729.0,604.0
759.0,584.0
769.0,577.0
779.0,570.0
790.0,562.0
837.0,545.0
850.0,537.0
860.0,538.0
871.0,533.0
890.0,530.0
914.0,535.0
917.0,539.0
923.0,548.0
925.0,557.0
929.0,565.0
928.0,575.0
928.0,609.0
928.0,615.0
928.0,618.0
929.0,616.0
927.0,615.0
933.0,585.0
939.0,574.0
941.0,564.0
948.0,541.0
949.0,533.0
952.0,522.0
952.0,523.0
948.0,530.0
946.0,538.0
941.0,545.0
934.0,552.0
929.0,559.0
906.0,578.0
902.0,578.0
900.0,577.0
902.0,577.0
902.0,577.0
907.0,577.0
915.0,574.0
922.0,575.0
928.0,575.0
949.0,576.0
965.0,578.0
975.0,581.0
970.0,574.0
971.0,573.0
967.0,565.0
961.0,551.0
961.0,542.0
964.0,536.0
968.0,520.0
972.0,518.0
977.0,518.0
983.0,518.0
990.0,522.0
1005.0,551.0
1004.0,556.0
1003.0,558.0
1003.0,558.0
996.0,537.0
999.0,527.0
996.0,516.0
995.0,478.0
997.0,467.0
989.0,434.0
985.0,427.0
982.0,422.0
979.0,420.0
971.0,418.0
972.0,456.0
978.0,466.0
985.0,475.0
994.0,483.0
1003.0,493.0
1003.0,493.0
1030.0,522.0
1038.0,526.0
1037.0,531.0
1036.0,529.0
1034.0,529.0
