x,y
557.0,494.0
565.0,500.0
565.0,503.0
566.0,507.0
564.0,509.0
556.0,511.0
535.0,499.0
531.0,494.0
525.0,469.0
525.0,463.0
531.0,459.0
535.0,457.0
540.0,455.0
576.0,466.0
584.0,475.0
593.0,484.0
604.0,490.0
612.0,495.0
622.0,505.0
612.0,498.0
607.0,493.0
603.0,487.0
603.0,487.0
600.0,482.0
607.0,460.0
611.0,456.0
618.0,456.0
624.0,457.0
635.0,469.0
642.0,490.0
639.0,494.0
635.0,498.0
633.0,501.0
625.0,496.0
633.0,496.0
639.0,497.0
645.0,500.0
651.0,504.0
664.0,507.0
665.0,504.0
664.0,499.0
663.0,493.0
664.0,484.0
660.0,468.0
665.0,473.0
665.0,473.0
669.0,479.0
703.0,510.0
704.0,510.0
706.0,498.0
705.0,490.0
704.0,484.0
710.0,471.0
717.0,471.0
731.0,475.0
741.0,481.0
764.0,510.0
758.0,511.0
751.0,507.0
728.0,485.0
730.0,478.0
733.0,473.0
741.0,469.0
758.0,472.0
777.0,496.0
775.0,493.0
772.0,487.0
770.0,452.0
767.0,437.0
763.0,400.0
758.0,382.0
752.0,365.0
746.0,350.0
731.0,342.0
731.0,342.0
732.0,351.0
787.0,420.0
806.0,432.0
821.0,444.0
827.0,454.0
794.0,476.0
794.0,476.0
778.0,483.0
676.0,514.0
655.0,517.0
632.0,522.0
614.0,525.0
596.0,527.0
567.0,535.0
563.0,539.0
573.0,548.0
582.0,555.0
615.0,572.0
620.0,573.0
626.0,571.0
632.0,567.0
635.0,562.0
640.0,558.0
668.0,531.0
681.0,525.0
694.0,516.0
711.0,508.0
726.0,499.0
791.0,472.0
791.0,472.0
818.0,469.0
833.0,467.0
866.0,471.0
869.0,475.0
873.0,479.0
872.0,484.0
871.0,490.0
856.0,512.0
853.0,515.0
853.0,518.0
855.0,519.0
869.0,497.0
875.0,485.0
878.0,478.0
880.0,474.0
883.0,468.0
891.0,472.0
894.0,480.0
897.0,487.0
915.0,514.0
918.0,518.0
919.0,520.0
917.0,520.0
914.0,521.0
913.0,508.0
917.0,505.0
921.0,503.0
945.0,509.0
949.0,510.0
948.0,511.0
947.0,509.0
938.0,484.0
952.0,475.0
964.0,474.0
972.0,479.0
985.0,485.0
1006.0,514.0
1006.0,518.0
1001.0,520.0
996.0,520.0
985.0,492.0
989.0,488.0
996.0,483.0
1005.0,482.0
1012.0,484.0
1038.0,501.0
1046.0,503.0
1052.0,504.0
1058.0,506.0
1065.0,506.0
1058.0,505.0
1048.0,505.0
1041.0,504.0
1034.0,500.0
1027.0,470.0
1033.0,462.0
1041.0,456.0
1047.0,453.0
1054.0,452.0
1062.0,465.0
1060.0,473.0
1054.0,481.0
1048.0,491.0
1038.0,504.0
993.0,533.0
983.0,538.0
974.0,542.0
969.0,545.0
973.0,558.0
979.0,563.0
987.0,569.0
989.0,573.0
994.0,576.0
1014.0,572.0
1018.0,570.0
1025.0,566.0
1028.0,551.0
1018.0,537.0
1011.0,524.0
986.0,457.0
982.0,441.0
977.0,431.0
972.0,425.0
969.0,421.0
