x,y
598.0,497.0
602.0,502.0
598.0,507.0
591.0,515.0
591.0,515.0
581.0,511.0
581.0,511.0
573.0,497.0
573.0,497.0
568.0,481.0
569.0,449.0
591.0,445.0
608.0,461.0
622.0,485.0
622.0,485.0
626.0,495.0
625.0,486.0
623.0,477.0
622.0,468.0
631.0,442.0
636.0,449.0
642.0,459.0
646.0,471.0
652.0,483.0
655.0,492.0
650.0,478.0
649.0,463.0
648.0,457.0
652.0,448.0
656.0,445.0
673.0,470.0
678.0,482.0
682.0,490.0
685.0,497.0
688.0,497.0
684.0,460.0
683.0,452.0
684.0,446.0
684.0,447.0
684.0,455.0
700.0,498.0
708.0,501.0
710.0,503.0
711.0,497.0
706.0,488.0
704.0,475.0
714.0,443.0
723.0,441.0
730.0,446.0
740.0,453.0
752.0,463.0
754.0,496.0
746.0,499.0
740.0,495.0
732.0,489.0
725.0,481.0
723.0,473.0
730.0,441.0
733.0,440.0
738.0,441.0
757.0,477.0
758.0,483.0
757.0,485.0
755.0,483.0
752.0,473.0
749.0,465.0
747.0,403.0
746.0,385.0
741.0,367.0
740.0,350.0
739.0,338.0
734.0,325.0
715.0,325.0
715.0,337.0
719.0,349.0
725.0,362.0
763.0,418.0
771.0,428.0
772.0,439.0
773.0,448.0
767.0,456.0
725.0,488.0
712.0,495.0
697.0,501.0
683.0,505.0
672.0,509.0
637.0,528.0
635.0,542.0
635.0,542.0
641.0,548.0
661.0,538.0
664.0,535.0
663.0,527.0
667.0,520.0
700.0,528.0
709.0,534.0
718.0,540.0
725.0,547.0
727.0,544.0
725.0,540.0
725.0,536.0
732.0,525.0
737.0,521.0
743.0,514.0
764.0,501.0
772.0,496.0
781.0,492.0
792.0,488.0
802.0,484.0
812.0,484.0
829.0,483.0
843.0,491.0
846.0,490.0
847.0,486.0
850.0,477.0
856.0,441.0
862.0,428.0
869.0,425.0
876.0,426.0
882.0,429.0
882.0,429.0
901.0,469.0
899.0,479.0
896.0,485.0
890.0,490.0
880.0,486.0
879.0,479.0
889.0,471.0
897.0,471.0
906.0,471.0
914.0,474.0
921.0,476.0
950.0,492.0
946.0,493.0
940.0,492.0
933.0,488.0
916.0,469.0
914.0,463.0
914.0,451.0
915.0,442.0
921.0,428.0
927.0,424.0
934.0,429.0
936.0,434.0
945.0,486.0
945.0,487.0
943.0,485.0
941.0,478.0
943.0,458.0
954.0,431.0
956.0,435.0
962.0,444.0
975.0,475.0
976.0,483.0
975.0,488.0
974.0,485.0
972.0,474.0
972.0,463.0
974.0,452.0
985.0,433.0
991.0,430.0
996.0,437.0
1005.0,446.0
1008.0,470.0
1010.0,479.0
1003.0,469.0
1004.0,458.0
1006.0,443.0
999.0,387.0
994.0,350.0
988.0,329.0
985.0,318.0
976.0,314.0
974.0,316.0
968.0,321.0
964.0,329.0
978.0,372.0
988.0,387.0
1005.0,410.0
1018.0,422.0
1028.0,431.0
1037.0,441.0
1039.0,446.0
1003.0,465.0
988.0,474.0
988.0,474.0
972.0,481.0
891.0,507.0
881.0,507.0
877.0,510.0
877.0,515.0
883.0,521.0
902.0,551.0
912.0,565.0
915.0,567.0
919.0,566.0
922.0,562.0
947.0,537.0
959.0,531.0
962.0,530.0
962.0,529.0
960.0,528.0
943.0,504.0
938.0,492.0
932.0,478.0
926.0,464.0
921.0,446.0
913.0,429.0
907.0,390.0
908.0,386.0
909.0,384.0
909.0,384.0
