x,y
449.0,443.0
456.0,444.0
460.0,444.0
460.0,449.0
460.0,452.0
450.0,456.0
441.0,452.0
428.0,445.0
413.0,429.0
408.0,420.0
414.0,393.0
422.0,383.0
463.0,391.0
476.0,401.0
514.0,424.0
533.0,432.0
558.0,448.0
565.0,451.0
560.0,453.0
539.0,446.0
525.0,437.0
514.0,420.0
515.0,405.0
523.0,400.0
536.0,399.0
556.0,403.0
564.0,409.0
572.0,424.0
575.0,433.0
574.0,451.0
572.0,461.0
563.0,473.0
562.0,480.0
574.0,491.0
584.0,494.0
603.0,490.0
602.0,482.0
593.0,466.0
587.0,457.0
593.0,446.0
600.0,443.0
618.0,433.0
627.0,430.0
651.0,427.0
664.0,428.0
696.0,432.0
709.0,436.0
741.0,452.0
751.0,467.0
765.0,498.0
768.0,513.0
789.0,539.0
796.0,546.0
803.0,561.0
802.0,565.0
794.0,556.0
789.0,549.0
775.0,523.0
767.0,506.0
757.0,466.0
751.0,447.0
737.0,421.0
730.0,410.0
727.0,403.0
730.0,407.0
742.0,427.0
750.0,438.0
765.0,454.0
775.0,457.0
787.0,453.0
788.0,449.0
780.0,434.0
777.0,425.0
782.0,413.0
794.0,414.0
827.0,420.0
842.0,426.0
877.0,436.0
886.0,440.0
891.0,449.0
886.0,452.0
859.0,452.0
843.0,448.0
833.0,440.0
831.0,417.0
840.0,411.0
862.0,405.0
874.0,405.0
891.0,418.0
895.0,427.0
881.0,443.0
870.0,444.0
866.0,440.0
873.0,436.0
909.0,435.0
931.0,439.0
954.0,449.0
961.0,456.0
964.0,458.0
962.0,450.0
952.0,431.0
949.0,421.0
954.0,403.0
955.0,401.0
964.0,407.0
972.0,417.0
968.0,444.0
969.0,458.0
973.0,475.0
972.0,479.0
954.0,483.0
933.0,485.0
915.0,483.0
885.0,481.0
876.0,483.0
872.0,491.0
876.0,494.0
888.0,506.0
897.0,512.0
908.0,518.0
910.0,513.0
907.0,504.0
908.0,495.0
909.0,480.0
911.0,473.0
901.0,460.0
892.0,451.0
881.0,441.0
860.0,411.0
840.0,379.0
833.0,363.0
819.0,350.0
817.0,351.0
819.0,355.0
