x,y
623.0,406.0
625.0,408.0
625.0,414.0
623.0,417.0
620.0,421.0
591.0,410.0
586.0,399.0
582.0,388.0
583.0,369.0
588.0,365.0
588.0,365.0
598.0,361.0
611.0,363.0
665.0,387.0
677.0,391.0
684.0,401.0
689.0,406.0
662.0,401.0
650.0,393.0
643.0,383.0
642.0,374.0
645.0,366.0
675.0,369.0
682.0,378.0
689.0,403.0
689.0,406.0
686.0,402.0
686.0,402.0
685.0,366.0
688.0,360.0
694.0,363.0
700.0,366.0
711.0,386.0
719.0,399.0
726.0,410.0
728.0,414.0
719.0,368.0
718.0,362.0
716.0,361.0
733.0,402.0
753.0,418.0
758.0,415.0
758.0,410.0
760.0,398.0
758.0,388.0
754.0,377.0
751.0,368.0
752.0,365.0
754.0,376.0
773.0,406.0
783.0,412.0
792.0,413.0
801.0,412.0
805.0,405.0
806.0,370.0
815.0,362.0
816.0,375.0
814.0,391.0
814.0,391.0
803.0,408.0
790.0,422.0
771.0,435.0
752.0,444.0
690.0,494.0
687.0,501.0
692.0,508.0
695.0,513.0
695.0,513.0
713.0,497.0
699.0,480.0
692.0,470.0
687.0,465.0
686.0,463.0
689.0,459.0
695.0,459.0
729.0,448.0
744.0,444.0
761.0,437.0
794.0,429.0
815.0,425.0
832.0,422.0
852.0,421.0
873.0,417.0
893.0,418.0
936.0,418.0
938.0,418.0
935.0,418.0
914.0,416.0
901.0,411.0
890.0,407.0
883.0,401.0
895.0,372.0
906.0,372.0
918.0,374.0
918.0,374.0
930.0,378.0
943.0,395.0
944.0,405.0
942.0,414.0
922.0,444.0
916.0,447.0
916.0,450.0
919.0,453.0
919.0,453.0
928.0,452.0
937.0,453.0
941.0,435.0
933.0,431.0
927.0,427.0
918.0,423.0
916.0,421.0
919.0,417.0
923.0,414.0
951.0,409.0
967.0,417.0
974.0,420.0
979.0,420.0
981.0,419.0
981.0,416.0
981.0,411.0
973.0,380.0
970.0,379.0
972.0,380.0
975.0,385.0
980.0,392.0
984.0,401.0
1016.0,423.0
1021.0,424.0
1021.0,417.0
1019.0,411.0
1020.0,403.0
1021.0,394.0
1021.0,386.0
1024.0,380.0
1034.0,369.0
1040.0,372.0
1042.0,372.0
