x,y
419.0,371.0
419.0,375.0
420.0,377.0
420.0,380.0
423.0,383.0
422.0,385.0
405.0,372.0
401.0,363.0
397.0,357.0
395.0,347.0
393.0,339.0
392.0,334.0
419.0,329.0
432.0,335.0
442.0,342.0
450.0,349.0
461.0,356.0
479.0,376.0
478.0,377.0
472.0,373.0
466.0,369.0
460.0,366.0
447.0,346.0
445.0,339.0
447.0,335.0
449.0,332.0
452.0,329.0
458.0,330.0
480.0,354.0
485.0,369.0
486.0,372.0
484.0,371.0
475.0,335.0
475.0,329.0
476.0,324.0
478.0,322.0
482.0,320.0
507.0,347.0
513.0,358.0
516.0,364.0
517.0,372.0
517.0,375.0
513.0,352.0
511.0,344.0
511.0,336.0
513.0,329.0
515.0,323.0
540.0,338.0
545.0,350.0
550.0,360.0
554.0,370.0
558.0,376.0
560.0,369.0
557.0,359.0
556.0,349.0
555.0,339.0
563.0,328.0
562.0,334.0
558.0,343.0
556.0,352.0
548.0,365.0
509.0,397.0
494.0,399.0
482.0,398.0
469.0,399.0
460.0,397.0
444.0,397.0
447.0,399.0
452.0,404.0
458.0,409.0
464.0,413.0
468.0,419.0
494.0,418.0
500.0,415.0
505.0,414.0
510.0,412.0
520.0,428.0
517.0,434.0
515.0,441.0
513.0,443.0
511.0,446.0
511.0,444.0
514.0,443.0
518.0,440.0
522.0,438.0
527.0,431.0
534.0,424.0
542.0,419.0
582.0,396.0
590.0,391.0
597.0,381.0
603.0,376.0
608.0,369.0
630.0,344.0
636.0,341.0
642.0,338.0
651.0,339.0
658.0,340.0
668.0,342.0
694.0,377.0
700.0,387.0
705.0,400.0
710.0,412.0
713.0,424.0
717.0,433.0
720.0,441.0
721.0,444.0
721.0,436.0
719.0,426.0
718.0,416.0
718.0,403.0
716.0,355.0
717.0,345.0
716.0,339.0
717.0,336.0
720.0,355.0
718.0,364.0
717.0,376.0
715.0,386.0
711.0,395.0
706.0,403.0
684.0,422.0
682.0,422.0
682.0,419.0
687.0,419.0
692.0,417.0
699.0,418.0
741.0,420.0
759.0,421.0
759.0,421.0
762.0,421.0
767.0,421.0
786.0,455.0
791.0,464.0
795.0,477.0
800.0,489.0
810.0,518.0
810.0,517.0
809.0,514.0
808.0,507.0
805.0,501.0
792.0,449.0
787.0,428.0
783.0,391.0
782.0,376.0
782.0,366.0
782.0,366.0
792.0,353.0
793.0,358.0
794.0,371.0
794.0,376.0
799.0,391.0
810.0,408.0
814.0,412.0
818.0,410.0
822.0,408.0
824.0,369.0
828.0,356.0
833.0,352.0
839.0,351.0
846.0,355.0
881.0,373.0
888.0,376.0
895.0,383.0
899.0,386.0
877.0,390.0
869.0,384.0
869.0,384.0
862.0,379.0
869.0,348.0
875.0,344.0
889.0,348.0
896.0,353.0
901.0,361.0
905.0,367.0
906.0,376.0
906.0,387.0
905.0,383.0
905.0,378.0
905.0,371.0
909.0,354.0
911.0,349.0
917.0,345.0
930.0,354.0
932.0,362.0
934.0,369.0
939.0,373.0
943.0,380.0
945.0,382.0
953.0,356.0
953.0,347.0
953.0,337.0
953.0,333.0
953.0,333.0
949.0,353.0
968.0,374.0
974.0,374.0
980.0,371.0
986.0,348.0
989.0,342.0
990.0,334.0
990.0,329.0
1000.0,325.0
1006.0,326.0
1013.0,329.0
1043.0,348.0
1045.0,353.0
1045.0,367.0
1038.0,372.0
1019.0,362.0
1020.0,353.0
1021.0,344.0
1025.0,336.0
1049.0,326.0
1054.0,327.0
1058.0,342.0
1058.0,350.0
1057.0,357.0
1053.0,364.0
1051.0,345.0
1052.0,334.0
1050.0,319.0
1050.0,319.0
1048.0,302.0
1047.0,264.0
1031.0,200.0
1023.0,197.0
1017.0,199.0
1013.0,203.0
1006.0,233.0
1006.0,257.0
1016.0,269.0
1023.0,281.0
1029.0,291.0
1039.0,302.0
1077.0,330.0
1086.0,335.0
1090.0,340.0
1095.0,342.0
1100.0,343.0
1100.0,344.0
1085.0,341.0
