x,y
657.0,500.0
648.0,501.0
647.0,504.0
641.0,504.0
635.0,508.0
631.0,505.0
625.0,502.0
619.0,498.0
617.0,493.0
617.0,474.0
619.0,469.0
623.0,465.0
631.0,463.0
637.0,463.0
677.0,472.0
688.0,477.0
695.0,481.0
702.0,487.0
705.0,493.0
707.0,496.0
684.0,502.0
676.0,497.0
671.0,492.0
669.0,485.0
668.0,480.0
684.0,457.0
691.0,457.0
699.0,460.0
703.0,466.0
710.0,473.0
712.0,482.0
713.0,493.0
712.0,487.0
714.0,481.0
714.0,470.0
717.0,460.0
719.0,454.0
720.0,454.0
740.0,487.0
743.0,496.0
746.0,501.0
749.0,502.0
749.0,498.0
749.0,491.0
747.0,479.0
745.0,468.0
745.0,461.0
748.0,469.0
751.0,481.0
758.0,491.0
766.0,502.0
771.0,505.0
774.0,505.0
776.0,472.0
773.0,462.0
774.0,456.0
774.0,452.0
775.0,453.0
778.0,457.0
776.0,464.0
770.0,470.0
730.0,502.0
716.0,507.0
703.0,510.0
689.0,512.0
675.0,517.0
667.0,520.0
663.0,536.0
671.0,544.0
676.0,549.0
684.0,554.0
688.0,556.0
696.0,551.0
704.0,544.0
712.0,537.0
738.0,530.0
739.0,537.0
738.0,548.0
736.0,558.0
734.0,566.0
732.0,596.0
736.0,601.0
740.0,606.0
744.0,608.0
747.0,608.0
749.0,606.0
748.0,601.0
743.0,595.0
721.0,565.0
724.0,566.0
727.0,559.0
732.0,555.0
767.0,522.0
778.0,514.0
790.0,507.0
804.0,501.0
816.0,497.0
831.0,499.0
842.0,500.0
857.0,508.0
877.0,552.0
879.0,560.0
879.0,562.0
879.0,555.0
879.0,544.0
877.0,529.0
878.0,509.0
883.0,457.0
886.0,457.0
888.0,461.0
886.0,470.0
883.0,481.0
878.0,491.0
872.0,502.0
844.0,518.0
844.0,521.0
847.0,520.0
851.0,519.0
860.0,518.0
868.0,514.0
879.0,513.0
888.0,513.0
916.0,554.0
920.0,570.0
922.0,586.0
926.0,603.0
926.0,616.0
925.0,624.0
916.0,600.0
912.0,577.0
911.0,556.0
912.0,533.0
911.0,510.0
912.0,489.0
910.0,473.0
908.0,461.0
908.0,472.0
912.0,484.0
916.0,494.0
925.0,506.0
937.0,514.0
940.0,511.0
941.0,476.0
941.0,467.0
946.0,461.0
951.0,460.0
962.0,463.0
969.0,468.0
981.0,474.0
991.0,481.0
1000.0,515.0
992.0,518.0
984.0,519.0
973.0,512.0
964.0,505.0
957.0,495.0
955.0,483.0
973.0,459.0
981.0,462.0
987.0,471.0
991.0,483.0
990.0,493.0
988.0,500.0
986.0,505.0
984.0,503.0
990.0,463.0
992.0,457.0
996.0,451.0
1001.0,453.0
1006.0,459.0
1022.0,502.0
1024.0,510.0
1026.0,515.0
1029.0,510.0
1030.0,500.0
1030.0,500.0
1030.0,485.0
1031.0,472.0
1033.0,452.0
1037.0,463.0
1039.0,475.0
1038.0,490.0
1053.0,509.0
1060.0,516.0
1065.0,512.0
1071.0,491.0
1072.0,479.0
1074.0,469.0
1075.0,453.0
1078.0,446.0
1078.0,440.0
1078.0,441.0
1076.0,447.0
1052.0,477.0
1040.0,483.0
1025.0,491.0
1009.0,499.0
995.0,507.0
980.0,513.0
966.0,519.0
949.0,529.0
949.0,544.0
955.0,549.0
966.0,560.0
974.0,566.0
983.0,569.0
991.0,571.0
998.0,564.0
1035.0,530.0
1036.0,530.0
1036.0,530.0
1036.0,530.0
1030.0,530.0
1024.0,530.0
996.0,492.0
987.0,458.0
980.0,442.0
974.0,424.0
969.0,412.0
964.0,402.0
957.0,391.0
958.0,392.0
