x,y
646.0,447.0
646.0,447.0
648.0,448.0
648.0,448.0
648.0,451.0
639.0,466.0
627.0,466.0
627.0,466.0
613.0,454.0
628.0,397.0
643.0,395.0
643.0,395.0
653.0,399.0
663.0,408.0
679.0,454.0
678.0,462.0
677.0,466.0
676.0,463.0
676.0,456.0
678.0,446.0
685.0,394.0
693.0,393.0
697.0,393.0
703.0,400.0
709.0,406.0
712.0,419.0
717.0,462.0
718.0,463.0
716.0,458.0
716.0,450.0
716.0,437.0
718.0,424.0
723.0,411.0
748.0,383.0
755.0,385.0
764.0,383.0
764.0,386.0
764.0,389.0
757.0,387.0
750.0,387.0
741.0,382.0
691.0,352.0
685.0,349.0
679.0,348.0
678.0,347.0
679.0,351.0
685.0,351.0
763.0,380.0
783.0,390.0
799.0,397.0
818.0,409.0
830.0,422.0
837.0,433.0
844.0,452.0
848.0,473.0
849.0,507.0
846.0,502.0
847.0,490.0
843.0,476.0
843.0,456.0
841.0,434.0
842.0,415.0
846.0,398.0
850.0,388.0
868.0,388.0
868.0,396.0
864.0,403.0
858.0,414.0
848.0,420.0
802.0,444.0
795.0,446.0
796.0,447.0
803.0,447.0
816.0,446.0
816.0,446.0
827.0,444.0
886.0,447.0
898.0,450.0
906.0,451.0
908.0,453.0
898.0,453.0
886.0,447.0
879.0,441.0
871.0,432.0
859.0,395.0
855.0,384.0
858.0,378.0
864.0,375.0
872.0,378.0
897.0,395.0
909.0,409.0
917.0,424.0
941.0,483.0
948.0,502.0
950.0,526.0
946.0,545.0
949.0,562.0
948.0,579.0
943.0,593.0
940.0,592.0
934.0,554.0
933.0,530.0
925.0,493.0
917.0,446.0
924.0,410.0
924.0,410.0
924.0,377.0
924.0,377.0
925.0,376.0
925.0,376.0
925.0,390.0
936.0,431.0
945.0,447.0
945.0,447.0
948.0,453.0
948.0,453.0
950.0,445.0
950.0,429.0
950.0,429.0
950.0,390.0
954.0,381.0
954.0,381.0
965.0,380.0
965.0,380.0
977.0,389.0
1009.0,421.0
1016.0,440.0
1016.0,440.0
1016.0,455.0
1016.0,455.0
1010.0,454.0
989.0,414.0
988.0,392.0
988.0,392.0
993.0,382.0
993.0,382.0
1009.0,379.0
1021.0,386.0
1021.0,386.0
1037.0,406.0
1027.0,413.0
1010.0,414.0
1010.0,414.0
994.0,418.0
994.0,418.0
993.0,439.0
1003.0,450.0
1003.0,450.0
1020.0,466.0
1028.0,487.0
1028.0,487.0
1042.0,499.0
1042.0,499.0
1051.0,477.0
1055.0,460.0
1055.0,460.0
1062.0,449.0
1062.0,449.0
1063.0,452.0
1061.0,461.0
1061.0,461.0
1052.0,492.0
1047.0,512.0
1042.0,534.0
1042.0,534.0
1044.0,552.0
1044.0,552.0
1044.0,564.0
1057.0,561.0
1061.0,548.0
1061.0,548.0
1060.0,535.0
1060.0,535.0
1054.0,519.0
1054.0,519.0
1045.0,511.0
