x,y
507.0,477.0
501.0,487.0
492.0,489.0
487.0,486.0
481.0,481.0
462.0,452.0
460.0,443.0
461.0,434.0
465.0,427.0
493.0,414.0
503.0,414.0
513.0,419.0
523.0,427.0
539.0,461.0
543.0,469.0
542.0,475.0
538.0,460.0
536.0,449.0
536.0,437.0
536.0,426.0
548.0,403.0
553.0,405.0
553.0,405.0
566.0,417.0
582.0,456.0
582.0,462.0
582.0,464.0
582.0,466.0
574.0,437.0
573.0,427.0
575.0,421.0
576.0,414.0
594.0,410.0
601.0,413.0
608.0,416.0
639.0,439.0
648.0,443.0
652.0,450.0
654.0,457.0
631.0,462.0
624.0,456.0
618.0,449.0
603.0,413.0
604.0,406.0
605.0,401.0
608.0,400.0
616.0,403.0
636.0,428.0
639.0,433.0
639.0,440.0
641.0,446.0
641.0,452.0
642.0,449.0
642.0,444.0
637.0,416.0
639.0,411.0
642.0,405.0
646.0,401.0
667.0,400.0
673.0,401.0
676.0,405.0
678.0,408.0
663.0,442.0
657.0,451.0
648.0,459.0
641.0,465.0
610.0,489.0
603.0,491.0
598.0,496.0
592.0,511.0
592.0,514.0
594.0,517.0
598.0,519.0
600.0,518.0
600.0,500.0
598.0,493.0
593.0,485.0
580.0,471.0
580.0,474.0
575.0,495.0
574.0,503.0
564.0,541.0
567.0,563.0
568.0,563.0
570.0,564.0
571.0,563.0
562.0,534.0
557.0,529.0
556.0,524.0
564.0,505.0
567.0,503.0
574.0,496.0
581.0,490.0
622.0,458.0
634.0,451.0
647.0,445.0
697.0,430.0
709.0,430.0
718.0,429.0
726.0,429.0
746.0,436.0
749.0,440.0
751.0,447.0
764.0,490.0
768.0,506.0
774.0,520.0
775.0,570.0
775.0,576.0
773.0,578.0
773.0,580.0
772.0,565.0
771.0,556.0
772.0,547.0
769.0,534.0
761.0,469.0
763.0,451.0
762.0,431.0
755.0,414.0
755.0,417.0
756.0,425.0
755.0,429.0
771.0,454.0
778.0,457.0
783.0,458.0
786.0,438.0
787.0,431.0
787.0,423.0
790.0,417.0
815.0,415.0
826.0,420.0
837.0,428.0
849.0,434.0
858.0,454.0
854.0,456.0
847.0,459.0
815.0,443.0
811.0,436.0
811.0,429.0
813.0,421.0
835.0,412.0
842.0,416.0
848.0,423.0
865.0,452.0
868.0,458.0
865.0,458.0
861.0,454.0
860.0,449.0
863.0,416.0
865.0,410.0
869.0,409.0
888.0,424.0
892.0,430.0
899.0,442.0
899.0,442.0
906.0,442.0
905.0,435.0
905.0,429.0
903.0,419.0
903.0,433.0
908.0,441.0
927.0,444.0
929.0,439.0
928.0,434.0
927.0,407.0
928.0,404.0
934.0,401.0
964.0,410.0
971.0,414.0
978.0,418.0
1004.0,440.0
1006.0,446.0
1004.0,451.0
1000.0,456.0
972.0,459.0
967.0,453.0
958.0,439.0
964.0,413.0
967.0,409.0
972.0,405.0
979.0,406.0
998.0,428.0
1001.0,443.0
1003.0,448.0
1002.0,450.0
1002.0,450.0
998.0,430.0
1000.0,419.0
997.0,406.0
996.0,391.0
986.0,321.0
984.0,311.0
979.0,303.0
967.0,300.0
963.0,306.0
961.0,311.0
960.0,318.0
963.0,336.0
983.0,368.0
992.0,377.0
1019.0,399.0
1024.0,403.0
1031.0,410.0
1034.0,419.0
1027.0,427.0
1024.0,433.0
981.0,455.0
981.0,455.0
920.0,486.0
886.0,503.0
869.0,511.0
855.0,521.0
842.0,528.0
818.0,542.0
815.0,545.0
817.0,548.0
860.0,543.0
875.0,540.0
890.0,537.0
906.0,531.0
936.0,520.0
939.0,517.0
