x,y
607.0,432.0
598.0,445.0
591.0,448.0
587.0,446.0
577.0,434.0
575.0,424.0
576.0,411.0
595.0,392.0
603.0,391.0
616.0,395.0
626.0,406.0
631.0,414.0
638.0,429.0
641.0,444.0
642.0,445.0
639.0,420.0
641.0,406.0
642.0,398.0
647.0,393.0
653.0,393.0
659.0,402.0
675.0,447.0
675.0,440.0
673.0,431.0
671.0,419.0
682.0,388.0
689.0,391.0
698.0,396.0
712.0,416.0
720.0,428.0
743.0,442.0
761.0,446.0
757.0,445.0
749.0,442.0
739.0,437.0
722.0,427.0
715.0,420.0
712.0,410.0
715.0,401.0
718.0,397.0
743.0,385.0
753.0,386.0
762.0,387.0
762.0,393.0
758.0,397.0
752.0,401.0
746.0,406.0
711.0,436.0
700.0,446.0
689.0,455.0
689.0,455.0
682.0,465.0
677.0,473.0
668.0,486.0
665.0,491.0
684.0,493.0
691.0,490.0
696.0,482.0
698.0,474.0
696.0,467.0
696.0,467.0
691.0,457.0
681.0,447.0
676.0,414.0
680.0,403.0
685.0,388.0
678.0,366.0
677.0,358.0
677.0,353.0
676.0,349.0
674.0,357.0
676.0,366.0
681.0,372.0
684.0,377.0
688.0,381.0
695.0,387.0
724.0,398.0
734.0,402.0
754.0,406.0
763.0,407.0
775.0,408.0
784.0,412.0
796.0,411.0
805.0,432.0
815.0,445.0
837.0,512.0
837.0,512.0
844.0,544.0
844.0,555.0
843.0,565.0
840.0,570.0
837.0,571.0
829.0,542.0
826.0,525.0
828.0,510.0
829.0,492.0
825.0,470.0
823.0,449.0
822.0,430.0
820.0,412.0
817.0,394.0
819.0,404.0
821.0,415.0
828.0,429.0
834.0,439.0
843.0,446.0
849.0,449.0
853.0,451.0
849.0,435.0
844.0,431.0
839.0,427.0
836.0,424.0
836.0,423.0
841.0,423.0
844.0,423.0
854.0,398.0
858.0,391.0
861.0,392.0
869.0,394.0
874.0,401.0
882.0,417.0
887.0,430.0
892.0,440.0
889.0,436.0
888.0,425.0
888.0,411.0
888.0,400.0
892.0,391.0
896.0,389.0
901.0,389.0
908.0,395.0
928.0,442.0
931.0,449.0
930.0,449.0
930.0,442.0
931.0,427.0
934.0,354.0
935.0,336.0
934.0,322.0
937.0,308.0
935.0,294.0
927.0,287.0
925.0,284.0
920.0,281.0
900.0,295.0
898.0,304.0
897.0,310.0
901.0,316.0
908.0,326.0
915.0,333.0
916.0,339.0
917.0,346.0
918.0,386.0
917.0,402.0
915.0,419.0
914.0,440.0
911.0,458.0
903.0,475.0
898.0,487.0
892.0,500.0
890.0,515.0
895.0,511.0
900.0,504.0
909.0,495.0
916.0,487.0
925.0,479.0
936.0,473.0
974.0,447.0
981.0,446.0
986.0,444.0
987.0,443.0
985.0,446.0
985.0,447.0
