x,y
641.0,466.0
638.0,470.0
635.0,477.0
625.0,494.0
599.0,490.0
591.0,481.0
585.0,469.0
580.0,450.0
583.0,438.0
589.0,433.0
617.0,450.0
621.0,466.0
625.0,483.0
628.0,502.0
628.0,502.0
629.0,528.0
632.0,608.0
635.0,611.0
632.0,610.0
632.0,601.0
630.0,587.0
625.0,534.0
624.0,491.0
626.0,470.0
627.0,455.0
632.0,443.0
636.0,438.0
659.0,454.0
662.0,465.0
667.0,477.0
667.0,477.0
673.0,493.0
673.0,497.0
672.0,492.0
670.0,484.0
674.0,440.0
678.0,438.0
685.0,439.0
690.0,444.0
695.0,451.0
698.0,461.0
704.0,477.0
708.0,492.0
707.0,482.0
706.0,471.0
707.0,459.0
711.0,451.0
716.0,445.0
721.0,443.0
755.0,456.0
763.0,465.0
770.0,477.0
773.0,486.0
770.0,496.0
764.0,500.0
756.0,497.0
748.0,496.0
730.0,459.0
731.0,448.0
734.0,442.0
740.0,436.0
745.0,433.0
754.0,433.0
782.0,463.0
782.0,472.0
778.0,480.0
772.0,479.0
762.0,483.0
756.0,482.0
756.0,480.0
784.0,468.0
795.0,471.0
807.0,476.0
816.0,483.0
819.0,490.0
823.0,497.0
824.0,501.0
824.0,501.0
818.0,455.0
820.0,444.0
820.0,433.0
822.0,427.0
823.0,427.0
822.0,430.0
820.0,440.0
799.0,491.0
792.0,501.0
784.0,512.0
776.0,521.0
773.0,528.0
770.0,535.0
772.0,538.0
776.0,542.0
789.0,524.0
785.0,512.0
780.0,502.0
772.0,496.0
765.0,488.0
758.0,487.0
754.0,485.0
749.0,490.0
721.0,509.0
712.0,515.0
704.0,518.0
699.0,523.0
696.0,526.0
699.0,529.0
713.0,526.0
714.0,519.0
713.0,511.0
707.0,502.0
702.0,496.0
697.0,491.0
695.0,486.0
694.0,485.0
718.0,500.0
725.0,507.0
731.0,515.0
736.0,524.0
735.0,532.0
734.0,539.0
727.0,544.0
714.0,548.0
722.0,550.0
732.0,553.0
745.0,558.0
760.0,565.0
772.0,569.0
783.0,573.0
786.0,575.0
790.0,558.0
794.0,552.0
805.0,542.0
814.0,535.0
828.0,526.0
891.0,502.0
906.0,499.0
915.0,498.0
926.0,500.0
929.0,502.0
928.0,505.0
900.0,500.0
895.0,494.0
889.0,482.0
889.0,472.0
890.0,460.0
919.0,451.0
924.0,459.0
926.0,473.0
931.0,488.0
931.0,506.0
938.0,579.0
939.0,588.0
937.0,593.0
932.0,593.0
932.0,586.0
933.0,519.0
935.0,498.0
936.0,474.0
938.0,460.0
941.0,448.0
940.0,440.0
942.0,438.0
935.0,483.0
933.0,501.0
926.0,518.0
917.0,530.0
911.0,539.0
905.0,546.0
906.0,548.0
942.0,538.0
954.0,537.0
965.0,534.0
975.0,536.0
983.0,538.0
985.0,539.0
980.0,523.0
977.0,515.0
977.0,504.0
977.0,494.0
981.0,486.0
986.0,478.0
994.0,476.0
1001.0,477.0
1013.0,483.0
1006.0,482.0
997.0,481.0
987.0,477.0
979.0,474.0
969.0,469.0
969.0,464.0
991.0,441.0
998.0,440.0
1005.0,446.0
1015.0,453.0
1019.0,463.0
1026.0,476.0
1026.0,483.0
1025.0,490.0
1028.0,464.0
1029.0,453.0
1030.0,446.0
1035.0,441.0
1038.0,439.0
1041.0,446.0
1046.0,452.0
1050.0,484.0
1049.0,483.0
1047.0,479.0
1048.0,469.0
1047.0,459.0
1047.0,450.0
1050.0,445.0
1069.0,450.0
1077.0,469.0
1079.0,476.0
1079.0,476.0
1079.0,480.0
1073.0,457.0
1068.0,445.0
1068.0,431.0
1063.0,417.0
1060.0,400.0
1054.0,373.0
1049.0,362.0
1044.0,352.0
1030.0,346.0
1023.0,352.0
1018.0,358.0
1017.0,365.0
1015.0,372.0
1017.0,379.0
1033.0,393.0
1042.0,413.0
1040.0,420.0
1040.0,427.0
1034.0,434.0
1029.0,444.0
1024.0,455.0
1015.0,465.0
1008.0,475.0
988.0,493.0
983.0,507.0
989.0,514.0
996.0,523.0
1004.0,529.0
1012.0,535.0
1021.0,539.0
1024.0,538.0
1040.0,509.0
1039.0,506.0
1040.0,506.0
