x,y
418.0,496.0
420.0,499.0
423.0,504.0
423.0,514.0
416.0,528.0
410.0,535.0
389.0,528.0
375.0,520.0
366.0,507.0
363.0,496.0
369.0,489.0
386.0,469.0
393.0,466.0
403.0,467.0
421.0,485.0
424.0,495.0
429.0,516.0
432.0,523.0
425.0,519.0
424.0,512.0
427.0,480.0
423.0,456.0
421.0,409.0
421.0,388.0
415.0,346.0
413.0,335.0
409.0,335.0
401.0,345.0
404.0,361.0
405.0,382.0
410.0,399.0
419.0,419.0
431.0,438.0
456.0,475.0
470.0,491.0
479.0,503.0
481.0,512.0
484.0,515.0
483.0,509.0
473.0,488.0
468.0,476.0
466.0,465.0
474.0,452.0
475.0,453.0
487.0,455.0
511.0,468.0
526.0,481.0
541.0,498.0
557.0,520.0
556.0,524.0
546.0,522.0
534.0,516.0
518.0,495.0
519.0,485.0
525.0,478.0
536.0,466.0
544.0,467.0
555.0,469.0
567.0,489.0
572.0,502.0
572.0,509.0
572.0,511.0
572.0,511.0
571.0,494.0
571.0,484.0
572.0,473.0
576.0,463.0
590.0,457.0
603.0,462.0
617.0,477.0
630.0,492.0
654.0,516.0
661.0,525.0
662.0,530.0
661.0,536.0
653.0,533.0
629.0,517.0
619.0,510.0
614.0,500.0
612.0,489.0
612.0,481.0
620.0,475.0
644.0,473.0
654.0,473.0
666.0,479.0
671.0,483.0
676.0,494.0
677.0,505.0
670.0,520.0
670.0,527.0
667.0,530.0
665.0,527.0
672.0,525.0
681.0,518.0
709.0,513.0
730.0,514.0
748.0,514.0
766.0,518.0
784.0,521.0
806.0,534.0
805.0,543.0
808.0,555.0
807.0,563.0
806.0,573.0
803.0,579.0
798.0,569.0
798.0,557.0
801.0,545.0
805.0,528.0
804.0,507.0
801.0,488.0
798.0,463.0
795.0,460.0
795.0,466.0
796.0,475.0
797.0,489.0
797.0,501.0
787.0,525.0
781.0,536.0
771.0,538.0
765.0,542.0
766.0,540.0
777.0,535.0
793.0,534.0
809.0,537.0
825.0,538.0
836.0,542.0
842.0,545.0
843.0,544.0
841.0,539.0
834.0,535.0
830.0,530.0
832.0,520.0
840.0,515.0
843.0,502.0
841.0,495.0
837.0,485.0
834.0,475.0
837.0,468.0
849.0,468.0
878.0,480.0
891.0,492.0
901.0,507.0
907.0,519.0
910.0,529.0
908.0,536.0
893.0,545.0
885.0,543.0
878.0,535.0
870.0,527.0
865.0,513.0
862.0,496.0
876.0,483.0
887.0,484.0
905.0,484.0
924.0,490.0
936.0,495.0
951.0,502.0
965.0,525.0
970.0,540.0
973.0,547.0
975.0,549.0
977.0,547.0
977.0,539.0
968.0,504.0
961.0,485.0
948.0,468.0
941.0,451.0
934.0,434.0
930.0,418.0
938.0,405.0
942.0,404.0
943.0,409.0
946.0,417.0
950.0,433.0
963.0,469.0
976.0,485.0
981.0,502.0
992.0,520.0
1003.0,534.0
1013.0,541.0
1039.0,550.0
1046.0,550.0
1045.0,546.0
1043.0,535.0
1042.0,527.0
1038.0,517.0
1044.0,498.0
1041.0,499.0
1038.0,497.0
1033.0,498.0
1027.0,500.0
1012.0,510.0
1000.0,520.0
982.0,529.0
961.0,537.0
932.0,542.0
907.0,547.0
885.0,551.0
856.0,554.0
850.0,558.0
851.0,560.0
859.0,569.0
868.0,579.0
878.0,589.0
892.0,603.0
897.0,605.0
901.0,603.0
906.0,598.0
916.0,595.0
928.0,592.0
956.0,582.0
969.0,573.0
977.0,566.0
981.0,563.0
979.0,566.0
959.0,587.0
952.0,595.0
947.0,602.0
944.0,607.0
946.0,616.0
956.0,625.0
972.0,635.0
988.0,643.0
1005.0,648.0
1021.0,653.0
1029.0,654.0
