x,y
608.0,499.0
607.0,500.0
606.0,501.0
605.0,503.0
602.0,504.0
599.0,506.0
589.0,501.0
568.0,488.0
568.0,488.0
564.0,484.0
556.0,456.0
557.0,449.0
562.0,437.0
568.0,433.0
577.0,434.0
597.0,451.0
598.0,459.0
599.0,468.0
599.0,476.0
598.0,483.0
592.0,487.0
591.0,479.0
590.0,470.0
587.0,432.0
586.0,418.0
585.0,401.0
585.0,387.0
579.0,360.0
562.0,327.0
562.0,328.0
562.0,331.0
566.0,357.0
568.0,367.0
575.0,388.0
580.0,401.0
588.0,412.0
597.0,424.0
619.0,465.0
626.0,474.0
628.0,480.0
632.0,483.0
633.0,486.0
626.0,458.0
624.0,452.0
624.0,444.0
624.0,438.0
631.0,427.0
635.0,426.0
648.0,433.0
656.0,440.0
665.0,449.0
692.0,474.0
692.0,479.0
690.0,481.0
690.0,481.0
685.0,482.0
677.0,477.0
655.0,451.0
657.0,445.0
660.0,441.0
665.0,438.0
679.0,436.0
683.0,441.0
690.0,451.0
691.0,458.0
691.0,464.0
692.0,468.0
690.0,463.0
689.0,456.0
688.0,450.0
688.0,450.0
688.0,442.0
706.0,431.0
714.0,435.0
722.0,439.0
730.0,445.0
738.0,452.0
760.0,475.0
764.0,485.0
762.0,487.0
735.0,471.0
729.0,464.0
726.0,457.0
726.0,451.0
727.0,444.0
731.0,441.0
753.0,434.0
760.0,438.0
766.0,444.0
770.0,451.0
772.0,458.0
764.0,492.0
757.0,497.0
749.0,503.0
741.0,505.0
697.0,512.0
689.0,512.0
681.0,513.0
676.0,514.0
679.0,523.0
686.0,527.0
694.0,535.0
702.0,540.0
709.0,546.0
741.0,560.0
745.0,560.0
747.0,560.0
746.0,557.0
743.0,530.0
745.0,522.0
748.0,513.0
772.0,480.0
779.0,469.0
786.0,461.0
795.0,454.0
804.0,448.0
835.0,438.0
843.0,439.0
851.0,441.0
856.0,443.0
873.0,450.0
878.0,456.0
879.0,461.0
881.0,467.0
881.0,475.0
885.0,495.0
886.0,495.0
886.0,490.0
887.0,482.0
887.0,475.0
889.0,467.0
893.0,434.0
895.0,429.0
899.0,428.0
903.0,427.0
919.0,438.0
921.0,445.0
923.0,452.0
923.0,459.0
923.0,468.0
928.0,464.0
934.0,464.0
959.0,472.0
963.0,477.0
964.0,481.0
965.0,483.0
966.0,485.0
963.0,483.0
967.0,462.0
966.0,454.0
968.0,447.0
971.0,443.0
977.0,440.0
1000.0,443.0
1008.0,447.0
1015.0,453.0
1021.0,458.0
1026.0,465.0
1029.0,471.0
1013.0,486.0
1007.0,481.0
1003.0,477.0
1000.0,468.0
1006.0,439.0
1011.0,433.0
1016.0,432.0
1021.0,432.0
1025.0,433.0
1044.0,458.0
1048.0,466.0
1055.0,483.0
1055.0,482.0
1050.0,447.0
1049.0,437.0
1050.0,428.0
1048.0,421.0
1042.0,432.0
1045.0,440.0
1047.0,449.0
1048.0,457.0
1053.0,464.0
1071.0,479.0
1073.0,479.0
1074.0,476.0
1074.0,463.0
1076.0,431.0
1080.0,424.0
1085.0,413.0
1087.0,412.0
1091.0,414.0
1074.0,435.0
1065.0,441.0
1054.0,451.0
1043.0,459.0
1033.0,468.0
997.0,496.0
993.0,499.0
989.0,503.0
989.0,505.0
988.0,510.0
1010.0,523.0
1013.0,528.0
1016.0,532.0
1019.0,536.0
1033.0,534.0
1037.0,528.0
1041.0,523.0
1047.0,518.0
1055.0,508.0
1052.0,506.0
1048.0,508.0
