x,y
619.0,455.0
622.0,451.0
622.0,452.0
619.0,462.0
615.0,466.0
609.0,469.0
601.0,471.0
592.0,468.0
584.0,468.0
563.0,443.0
567.0,433.0
568.0,427.0
595.0,427.0
602.0,432.0
607.0,438.0
607.0,442.0
605.0,449.0
604.0,455.0
605.0,437.0
608.0,425.0
611.0,412.0
611.0,343.0
607.0,335.0
602.0,330.0
597.0,331.0
593.0,337.0
577.0,371.0
578.0,383.0
582.0,390.0
619.0,436.0
628.0,447.0
634.0,453.0
636.0,461.0
636.0,464.0
637.0,461.0
633.0,434.0
634.0,427.0
637.0,422.0
641.0,420.0
646.0,422.0
680.0,446.0
688.0,451.0
690.0,458.0
691.0,464.0
680.0,468.0
671.0,459.0
660.0,430.0
665.0,424.0
671.0,418.0
676.0,416.0
683.0,418.0
690.0,421.0
697.0,426.0
702.0,432.0
692.0,463.0
683.0,469.0
674.0,474.0
666.0,479.0
656.0,480.0
647.0,482.0
643.0,488.0
651.0,491.0
660.0,498.0
673.0,506.0
693.0,515.0
691.0,511.0
688.0,504.0
683.0,495.0
681.0,485.0
684.0,474.0
723.0,461.0
752.0,458.0
765.0,461.0
775.0,462.0
785.0,465.0
791.0,471.0
799.0,474.0
810.0,464.0
811.0,455.0
809.0,445.0
804.0,435.0
801.0,429.0
807.0,439.0
814.0,448.0
820.0,458.0
826.0,467.0
833.0,473.0
838.0,475.0
842.0,445.0
840.0,439.0
838.0,435.0
839.0,432.0
837.0,435.0
840.0,443.0
843.0,450.0
847.0,460.0
870.0,475.0
874.0,474.0
875.0,466.0
874.0,458.0
871.0,448.0
873.0,441.0
897.0,435.0
909.0,438.0
917.0,445.0
928.0,452.0
932.0,460.0
936.0,468.0
914.0,479.0
905.0,475.0
899.0,470.0
894.0,460.0
892.0,437.0
899.0,430.0
928.0,440.0
932.0,449.0
935.0,456.0
934.0,465.0
930.0,470.0
926.0,456.0
929.0,444.0
933.0,431.0
937.0,424.0
942.0,419.0
950.0,420.0
954.0,425.0
980.0,486.0
984.0,501.0
986.0,511.0
985.0,520.0
984.0,523.0
982.0,522.0
981.0,515.0
972.0,447.0
970.0,429.0
970.0,416.0
971.0,407.0
972.0,403.0
973.0,411.0
954.0,453.0
942.0,472.0
942.0,472.0
937.0,476.0
950.0,479.0
961.0,481.0
974.0,481.0
988.0,482.0
1000.0,484.0
1007.0,487.0
1005.0,488.0
973.0,491.0
958.0,492.0
941.0,491.0
926.0,490.0
912.0,491.0
903.0,491.0
898.0,491.0
924.0,507.0
938.0,513.0
953.0,523.0
964.0,528.0
975.0,535.0
