x,y
600.0,596.0
598.0,596.0
591.0,572.0
591.0,557.0
592.0,538.0
590.0,518.0
587.0,502.0
583.0,442.0
583.0,435.0
584.0,436.0
582.0,442.0
584.0,449.0
585.0,458.0
599.0,495.0
604.0,499.0
610.0,500.0
613.0,494.0
615.0,487.0
614.0,477.0
619.0,431.0
622.0,427.0
628.0,424.0
635.0,425.0
641.0,432.0
648.0,439.0
656.0,487.0
655.0,495.0
655.0,493.0
652.0,487.0
650.0,476.0
646.0,465.0
647.0,452.0
648.0,440.0
682.0,423.0
695.0,428.0
705.0,439.0
713.0,451.0
715.0,463.0
716.0,474.0
716.0,485.0
709.0,488.0
676.0,468.0
675.0,453.0
677.0,443.0
681.0,431.0
686.0,426.0
693.0,425.0
702.0,425.0
731.0,459.0
736.0,471.0
740.0,482.0
744.0,490.0
745.0,494.0
746.0,493.0
744.0,483.0
743.0,471.0
737.0,427.0
737.0,426.0
739.0,428.0
742.0,437.0
747.0,452.0
754.0,464.0
761.0,477.0
768.0,486.0
793.0,490.0
794.0,483.0
793.0,472.0
793.0,460.0
795.0,448.0
797.0,438.0
825.0,435.0
822.0,441.0
814.0,448.0
804.0,459.0
788.0,467.0
772.0,477.0
709.0,510.0
693.0,511.0
676.0,517.0
665.0,520.0
657.0,523.0
649.0,526.0
646.0,528.0
644.0,530.0
660.0,543.0
672.0,549.0
682.0,554.0
689.0,560.0
698.0,561.0
706.0,560.0
711.0,554.0
729.0,529.0
727.0,524.0
725.0,515.0
720.0,509.0
713.0,495.0
705.0,478.0
700.0,463.0
693.0,447.0
679.0,396.0
679.0,391.0
684.0,391.0
690.0,394.0
700.0,398.0
716.0,404.0
730.0,410.0
753.0,419.0
838.0,442.0
857.0,449.0
872.0,459.0
887.0,469.0
899.0,486.0
910.0,496.0
936.0,537.0
938.0,540.0
937.0,535.0
932.0,526.0
932.0,526.0
929.0,513.0
929.0,496.0
927.0,434.0
926.0,428.0
928.0,424.0
923.0,427.0
911.0,444.0
900.0,455.0
890.0,467.0
890.0,467.0
855.0,499.0
854.0,500.0
861.0,500.0
872.0,500.0
884.0,498.0
916.0,493.0
933.0,491.0
981.0,494.0
995.0,495.0
1004.0,498.0
1008.0,499.0
1011.0,499.0
1008.0,499.0
1001.0,498.0
984.0,493.0
961.0,475.0
958.0,467.0
957.0,456.0
958.0,446.0
964.0,440.0
976.0,430.0
982.0,434.0
991.0,450.0
999.0,460.0
1009.0,483.0
1009.0,483.0
1009.0,480.0
1007.0,473.0
1006.0,462.0
1009.0,455.0
1033.0,441.0
1040.0,446.0
1045.0,454.0
1052.0,463.0
1052.0,463.0
1057.0,474.0
1067.0,501.0
1068.0,495.0
1066.0,485.0
1066.0,473.0
1066.0,459.0
1065.0,447.0
1066.0,436.0
1071.0,417.0
1075.0,416.0
1076.0,421.0
1077.0,436.0
1077.0,448.0
1078.0,462.0
1078.0,475.0
1079.0,490.0
1082.0,521.0
1079.0,527.0
1072.0,529.0
1067.0,527.0
1056.0,514.0
1050.0,502.0
1045.0,488.0
1034.0,474.0
1022.0,458.0
975.0,413.0
964.0,403.0
951.0,395.0
944.0,391.0
934.0,390.0
932.0,392.0
935.0,395.0
