x,y
582.0,462.0
583.0,460.0
583.0,432.0
582.0,422.0
579.0,411.0
575.0,395.0
575.0,378.0
573.0,366.0
572.0,322.0
569.0,323.0
569.0,323.0
566.0,326.0
566.0,335.0
575.0,371.0
582.0,374.0
587.0,376.0
591.0,375.0
589.0,347.0
588.0,339.0
586.0,331.0
604.0,328.0
611.0,330.0
619.0,334.0
626.0,342.0
637.0,346.0
653.0,372.0
646.0,372.0
637.0,371.0
629.0,368.0
620.0,361.0
617.0,352.0
626.0,325.0
631.0,322.0
640.0,325.0
649.0,329.0
656.0,337.0
642.0,366.0
639.0,366.0
635.0,365.0
634.0,360.0
639.0,356.0
678.0,349.0
689.0,351.0
701.0,353.0
709.0,358.0
713.0,364.0
713.0,366.0
710.0,370.0
680.0,361.0
675.0,351.0
679.0,345.0
681.0,338.0
702.0,336.0
706.0,343.0
712.0,351.0
714.0,359.0
714.0,366.0
713.0,371.0
707.0,342.0
708.0,336.0
711.0,333.0
719.0,330.0
753.0,331.0
763.0,333.0
772.0,340.0
782.0,345.0
788.0,357.0
793.0,365.0
799.0,364.0
797.0,353.0
797.0,345.0
795.0,335.0
796.0,346.0
801.0,355.0
807.0,364.0
814.0,367.0
821.0,368.0
822.0,363.0
823.0,356.0
821.0,332.0
823.0,332.0
828.0,332.0
833.0,337.0
839.0,342.0
873.0,372.0
877.0,378.0
872.0,379.0
865.0,379.0
854.0,373.0
846.0,369.0
839.0,336.0
843.0,332.0
850.0,327.0
857.0,329.0
865.0,331.0
870.0,338.0
869.0,371.0
867.0,379.0
865.0,388.0
861.0,396.0
857.0,401.0
856.0,406.0
855.0,412.0
872.0,415.0
873.0,408.0
876.0,404.0
875.0,397.0
872.0,391.0
866.0,383.0
849.0,381.0
849.0,386.0
845.0,391.0
841.0,401.0
835.0,411.0
826.0,421.0
815.0,463.0
817.0,471.0
822.0,475.0
828.0,480.0
834.0,479.0
840.0,467.0
841.0,466.0
833.0,443.0
823.0,434.0
817.0,430.0
813.0,427.0
809.0,423.0
